geo,time,zaf_population,zaf_age
1,1996,3956880,25
2,1996,6147240,26
3,1996,1011860,28
4,1996,2633500,35
5,1996,8572300,58
6,1996,2727220,45
7,1996,7834120,65
8,1996,3123870,54
9,1996,4576570,47
1,2001,4524340,87
2,2001,6278650,65
3,2001,991919,89
4,2001,2706780,35
5,2001,9584130,54
6,2001,2984100,65
7,2001,9388850,37
8,2001,3365550,95
9,2001,4995460,84
1,2011,5822730,87
2,2011,6562050,31
3,2011,1145860,34
4,2011,2745590,64
5,2011,10267300,61
6,2011,3509950,82
7,2011,12272300,64
8,2011,4039940,43
9,2011,5404870,64
