Name,Tooltip,Menu level1,Menu level 2,Indicator url,Download,ddf_id,Scale
Children per woman (total fertility),Total fertility rate. The number of children that would be born to each woman with prevailing age-specific fertility rates. ,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0TAlJeCEzcGQ,Download indicator to excel,children_per_woman_total_fertility,lin
CO2 emissions (tonnes per person),Carbon dioxide emissions from the burning of fossil fuels (metric tonnes of CO2 per person). ,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1gkNuUEXOGag,Download indicator to excel,co2_emissions_tonnes_per_person,lin
"Income per person (GDP/capita, PPP$ inflation-adjusted)","Gross domestic product per person adjusted for differences in purchasing power (in international dollars, fixed 2005 prices, PPP based on 2005 ICP). ",,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1jiMAkmq1iMg,Download indicator to excel,income_per_person_gdppercapita_ppp_inflation_adjusted,log
"Child mortality (0-5 year-olds dying per 1,000 born)","Death of children under five years of age per 1,000 live births ",,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCcGhBd2NOQVZ1eWowNVpSNjl1c3lRSWc,Download indicator to excel,child_mortality_0_5_year_olds_dying_per_1000_born,log
Life expectancy (years),The average number of years a newborn child would live if current mortality patterns were to stay the same. ,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2tPLxKvvnNPA,Download indicator to excel,life_expectancy_years,lin
Aid given (2007 US$),"Total amount of allocable aid for official development assistance (ODA) given by the donor countries, expressed in constant 2007 US$.",Economy,Aid given,http://spreadsheets.google.com/pub?key=tFOn62dEO9QCyIKK6kgSYRQ,Download indicator to excel,aid_given_2007_us,lin
Aid given per person (2007 US$),Total amount of official development assistance (ODA) aid that has been given during this year divided by the population of the country (2007 US$),Economy,Aid given,http://spreadsheets.google.com/pub?key=tGTst0WEm8V8zI9LOYvGmTg,Download indicator to excel,aid_given_per_person_2007_us,lin
Aid given (% of GNI),Percentage of the gross national income (GNI) of each recepient country that has been given as official development assistance (ODA) aid during this year. ,Economy,Aid given,http://spreadsheets.google.com/pub?key=tQR7RhlZdPjBkVCDPPF4zUg,Download indicator to excel,aid_given_percent_of_gni,lin
———————————————————————,Placeholder,Economy,Aid given,http://spreadsheets.google.com/pub?key=tnDimTzGwU_BbmtOMHOUFFQ,Download indicator to excel,———————————————————————,lin
Water and sanitation aid given (% of aid),Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in water and sanitation.,Economy,Aid given,http://spreadsheets.google.com/pub?key=tXn3DSfvsYujaBP9bvH6acg,Download indicator to excel,water_and_sanitation_aid_given_percent_of_aid,lin
