geo,maternal_deaths_total_number,time
fin,445,1936
fin,418,1937
fin,362,1938
fin,343,1939
fin,412,1940
fin,301,1941
fin,378,1942
fin,370,1943
fin,402,1944
fin,370,1945
fin,248,1946
fin,202,1947
fin,164,1948
fin,150,1949
fin,142,1950
fin,117,1951
fin,117,1952
fin,121,1953
fin,95,1954
fin,91,1955
fin,96,1956
fin,75,1957
fin,84,1958
fin,56,1959
fin,60,1960
fin,45,1961
fin,42,1962
fin,40,1963
fin,34,1964
fin,20,1965
fin,24,1966
fin,15,1967
fin,20,1968
fin,10,1969
fin,8,1970
fin,7,1971
fin,6,1972
fin,6,1973
fin,5,1974
fin,5,1975
fin,5,1976
fin,4,1977
fin,4,1978
fin,4,1979
fin,5,1980
fin,4,1990
fin,3,1995
fin,4,2000
fin,5,2005
fin,4,2010
fin,2,2013
fra,142,1980
fra,89,1990
fra,80,1995
fra,75,2000
fra,70,2005
fra,95,2010
fra,68,2013
gab,113,1980
gab,134,1990
gab,131,1995
gab,135,2000
gab,132,2005
gab,126,2010
gab,130,2013
gmb,279,1980
gmb,306,1990
gmb,326,1995
gmb,324,2000
gmb,326,2005
gmb,339,2010
gmb,340,2013
geo,38,1980
geo,45,1990
geo,48,1995
geo,34,2000
geo,28,2005
geo,25,2010
geo,24,2013
deu,2002,1952
deu,1824,1953
deu,1669,1954
deu,1759,1955
deu,1630,1956
deu,1522,1957
deu,1447,1958
deu,1355,1959
deu,1353,1960
deu,1264,1961
deu,1142,1962
deu,1094,1963
deu,917,1964
deu,909,1965
deu,837,1966
deu,725,1967
deu,616,1968
deu,602,1969
deu,552,1970
deu,484,1971
deu,436,1972
deu,364,1973
deu,339,1974
deu,302,1975
deu,297,1976
deu,257,1977
deu,219,1978
deu,219,1979
deu,166,1980
deu,108,1990
deu,63,1995
deu,52,2000
deu,48,2005
deu,46,2010
deu,47,2013
gha,3467,1980
gha,4345,1990
gha,3940,1995
gha,3730,2000
gha,3416,2005
gha,3362,2010
gha,3100,2013
grc,25,1980
grc,6,1990
grc,2,1995
grc,5,2000
grc,3,2005
grc,5,2010
grc,6,2013
grd,4,1980
grd,1,1990
grd,1,1995
grd,1,2000
grd,0,2005
grd,0,2010
grd,0,2013
gtm,588,1980
gtm,952,1990
gtm,846,1995
gtm,651,2000
gtm,579,2005
gtm,590,2010
gtm,660,2013
gin,2458,1980
gin,3175,1990
gin,3439,1995
gin,3580,2000
gin,3180,2005
gin,2945,2010
gin,2800,2013
gnb,459,1980
gnb,447,1990
gnb,403,1995
gnb,452,2000
gnb,440,2005
gnb,378,2010
gnb,360,2013
guy,58,1980
guy,50,1990
guy,50,1995
guy,45,2000
guy,38,2005
guy,33,2010
guy,40,2013
hti,2682,1980
hti,1772,1990
hti,1545,1995
hti,1357,2000
hti,1253,2005
hti,1119,2010
hti,1000,2013
hnd,275,1980
hnd,546,1990
hnd,398,1995
hnd,295,2000
hnd,243,2005
hnd,209,2010
hnd,240,2013
hun,33,1980
hun,29,1990
hun,25,1995
hun,10,2000
hun,12,2005
hun,20,2010
hun,14,2013
isl,0,1980
isl,0,1990
isl,0,1995
isl,0,2000
isl,0,2005
isl,0,2010
isl,0,2013
ind,171000,1980
ind,153600,1990
ind,127300,1995
ind,103200,2000
ind,77380,2005
ind,58440,2010
ind,50000,2013
idn,20860,1980
idn,20150,1990
idn,16230,1995
idn,14130,2000
idn,12160,2005
idn,10680,2010
idn,8800,2013
irn,1756,1980
irn,1524,1990
irn,874,1995
irn,543,2000
irn,387,2005
irn,341,2010
irn,340,2013
irq,1314,1980
irq,730,1990
irq,629,1995
irq,595,2000
irq,732,2005
irq,808,2010
irq,710,2013
irl,649,1875
irl,585,1885
irl,497,1895
irl,442,1901
irl,450,1902
irl,406,1903
irl,413,1904
irl,405,1905
irl,429,1906
irl,357,1907
irl,375,1908
irl,396,1909
irl,382,1910
irl,364,1911
irl,387,1912
irl,379,1913
irl,362,1914
irl,359,1915
irl,370,1916
irl,296,1917
irl,299,1918
irl,295,1919
irl,341,1920
irl,314,1921
irl,332,1922
irl,294,1923
irl,300,1924
irl,289,1925
irl,297,1926
irl,269,1927
irl,289,1928
irl,237,1929
irl,278,1930
irl,253,1931
irl,269,1932
irl,264,1933
irl,281,1934
irl,282,1935
irl,286,1936
irl,221,1937
irl,254,1938
irl,211,1939
irl,230,1940
irl,202,1941
irl,157,1942
irl,144,1943
irl,153,1944
irl,154,1945
irl,131,1946
irl,123,1947
irl,104,1948
irl,120,1949
irl,105,1950
irl,108,1951
irl,91,1952
irl,83,1953
irl,68,1954
irl,69,1955
irl,52,1956
irl,80,1957
irl,62,1958
irl,39,1959
irl,35,1960
irl,28,1961
irl,27,1962
irl,22,1963
irl,29,1964
irl,17,1965
irl,18,1966
irl,14,1967
irl,23,1968
irl,21,1969
irl,20,1970
irl,22,1971
irl,19,1972
irl,18,1973
irl,10,1974
irl,11,1975
irl,9,1976
irl,11,1977
irl,9,1978
irl,9,1979
irl,8,1980
irl,3,1990
irl,2,1995
irl,3,2000
irl,1,2005
irl,7,2010
irl,6,2013
isr,8,1980
isr,12,1990
isr,11,1995
isr,11,2000
isr,10,2005
isr,8,2010
isr,3,2013
ita,92,1980
ita,56,1990
ita,32,1995
ita,21,2000
ita,28,2005
ita,22,2010
ita,23,2013
jam,51,1980
jam,60,1990
jam,53,1995
jam,49,2000
jam,44,2005
jam,41,2010
jam,40,2013
jpn,5519,1935
jpn,5224,1940
jpn,3785,1947
jpn,4022,1950
jpn,3828,1951
jpn,3529,1952
jpn,3542,1953
jpn,3412,1954
jpn,3167,1955
jpn,2892,1956
jpn,2821,1957
jpn,2502,1958
jpn,2327,1959
jpn,2079,1960
jpn,1910,1961
jpn,1799,1962
jpn,1678,1963
jpn,1640,1964
jpn,1489,1965
jpn,1613,1966
jpn,1268,1967
jpn,1253,1968
jpn,1102,1969
jpn,1009,1970
jpn,914,1971
jpn,827,1972
jpn,758,1973
jpn,668,1974
jpn,574,1975
jpn,481,1976
jpn,422,1977
jpn,377,1978
jpn,364,1979
jpn,315,1980
jpn,179,1990
jpn,120,1995
jpn,115,2000
jpn,78,2005
jpn,65,2010
jpn,63,2013
jor,204,1980
jor,102,1990
jor,102,1995
jor,97,2000
jor,93,2005
jor,98,2010
jor,97,2013
kaz,225,1980
kaz,349,1990
kaz,262,1995
kaz,170,2000
kaz,148,2005
kaz,149,2010
kaz,89,2013
ken,3990,1980
ken,4841,1990
ken,5560,1995
ken,6819,2000
ken,7504,2005
ken,6841,2010
ken,6300,2013
kir,7,1990
kir,6,1995
kir,5,2000
kir,5,2005
kir,4,2010
kir,3,2013
prk,454,1980
prk,358,1990
prk,362,1995
prk,491,2000
prk,406,2005
prk,346,2010
prk,310,2013
kor,367,1980
kor,121,1990
kor,121,1995
kor,103,2000
kor,83,2005
kor,96,2010
kor,130,2013
kwt,28,1980
kwt,5,1990
kwt,4,1995
kwt,3,2000
kwt,3,2005
kwt,9,2010
kwt,9,2013
kgz,76,1980
kgz,116,1990
kgz,149,1995
kgz,108,2000
kgz,104,2005
kgz,113,2010
kgz,110,2013
lao,2502,1980
lao,2010,1990
lao,1542,1995
lao,1021,2000
lao,690,2005
lao,476,2010
lao,400,2013
lva,13,1980
lva,20,1990
lva,14,1995
lva,8,2000
lva,5,2005
lva,6,2010
lva,3,2013
lbn,97,1980
lbn,44,1990
lbn,31,1995
lbn,23,2000
lbn,14,2005
lbn,11,2010
lbn,10,2013
lso,315,1980
lso,407,1990
lso,370,1995
lso,396,2000
lso,372,2005
lso,312,2010
lso,280,2013
lbr,603,1980
lbr,1143,1990
lbr,1570,1995
lbr,1304,2000
lbr,1184,2005
lbr,990,2010
lbr,980,2013
lby,191,1980
lby,39,1990
lby,29,1995
lby,25,2000
lby,22,2005
lby,21,2010
lby,19,2013
ltu,17,1980
ltu,19,1990
ltu,9,1995
ltu,7,2000
ltu,3,2005
ltu,3,2010
ltu,4,2013
lux,0,1980
lux,0,1990
lux,1,1995
lux,1,2000
lux,1,2005
lux,1,2010
lux,1,2013
mkd,11,1980
mkd,5,1990
mkd,4,1995
mkd,4,2000
mkd,3,2005
mkd,2,2010
mkd,2,2013
mdg,1908,1980
mdg,3880,1990
mdg,3810,1995
mdg,3564,2000
mdg,3650,2005
mdg,3597,2010
mdg,3500,2013
mwi,2056,1980
mwi,4908,1990
mwi,4054,1995
mwi,3726,2000
mwi,3150,2005
mwi,3285,2010
mwi,3400,2013
mys,1882,1933
mys,1742,1934
mys,1761,1935
mys,1912,1936
mys,1759,1937
mys,1713,1938
mys,1717,1939
mys,1618,1940
mys,1628,1946
mys,1743,1947
mys,1483,1948
mys,1387,1949
mys,1416,1950
mys,1532,1951
mys,1437,1952
mys,1339,1953
mys,1388,1954
mys,1252,1955
mys,1217,1956
mys,889,1957
mys,895,1958
mys,692,1959
mys,815,1960
mys,685,1961
mys,796,1962
mys,780,1963
mys,724,1964
mys,716,1965
mys,634,1966
mys,592,1967
mys,597,1968
mys,558,1969
mys,511,1970
mys,454,1971
mys,405,1972
mys,375,1973
mys,349,1974
mys,319,1975
mys,301,1976
mys,307,1977
mys,301,1978
mys,308,1979
mys,559,1980
mys,288,1990
mys,250,1995
mys,210,2000
mys,167,2005
mys,146,2010
mys,150,2013
mdv,79,1980
mdv,39,1990
mdv,16,1995
mdv,7,2000
mdv,4,2005
mdv,3,2010
mdv,2,2013
mli,3977,1980
mli,4589,1990
mli,4689,1995
mli,4626,2000
mli,4404,2005
mli,4175,2010
mli,4000,2013
mlt,1,1980
mlt,1,1990
mlt,1,1995
mlt,0,2000
mlt,0,2005
mlt,0,2010
mlt,0,2013
mrt,986,1980
mrt,520,1990
mrt,509,1995
mrt,499,2000
mrt,464,2005
mrt,454,2010
mrt,430,2013
mus,27,1980
mus,16,1990
mus,15,1995
mus,6,2000
mus,6,2005
mus,11,2010
mus,11,2013
mex,2952,1980
mex,2165,1990
mex,1933,1995
mex,1666,2000
mex,1205,2005
mex,1116,2010
mex,1100,2013
fsm,11,1980
fsm,6,1990
fsm,5,1995
fsm,4,2000
fsm,3,2005
fsm,2,2010
fsm,2,2013
mda,49,1980
mda,49,1990
mda,36,1995
mda,19,2000
mda,11,2005
mda,19,2010
mda,9,2013
mng,631,1980
mng,69,1990
mng,66,1995
mng,56,2000
mng,46,2005
mng,48,2010
mng,43,2013
mne,9,1980
mne,1,1990
mne,1,1995
mne,1,2000
mne,1,2005
mne,1,2010
mne,0,2013
mar,4587,1980
mar,2274,1990
mar,1643,1995
mar,1247,2000
mar,997,2005
mar,888,2010
mar,880,2013
moz,2338,1980
moz,8177,1990
moz,7948,1995
moz,7149,2000
moz,6197,2005
moz,5401,2010
moz,4800,2013
mmr,13050,1980
mmr,6560,1990
mmr,5211,1995
mmr,4168,2000
mmr,2955,2005
mmr,2235,2010
mmr,1900,2013
nam,171,1980
nam,171,1990
nam,162,1995
nam,160,2000
nam,151,2005
nam,106,2010
nam,81,2013
npl,5401,1980
npl,5744,1990
npl,4457,1995
npl,3271,2000
npl,2168,2005
npl,1357,2010
npl,1100,2013
nld,582,1878
nld,572,1883
nld,537,1888
nld,476,1893
nld,399,1898
nld,410,1903
nld,411,1905
nld,429,1906
nld,396,1907
nld,432,1908
nld,377,1909
nld,425,1910
nld,400,1911
nld,409,1912
nld,364,1913
nld,371,1914
nld,423,1915
nld,454,1916
nld,439,1917
nld,519,1918
nld,578,1919
nld,467,1920
nld,440,1921
nld,458,1922
nld,435,1923
nld,437,1924
nld,474,1925
nld,508,1926
nld,510,1927
nld,597,1928
nld,589,1929
nld,596,1930
nld,581,1931
nld,551,1932
nld,590,1933
nld,599,1934
nld,559,1935
nld,583,1936
nld,502,1937
nld,530,1938
nld,494,1939
nld,476,1940
nld,393,1941
nld,404,1942
nld,409,1943
nld,485,1944
nld,416,1945
nld,323,1946
nld,306,1947
nld,270,1948
nld,244,1949
nld,237,1950
nld,193,1951
nld,172,1952
nld,178,1953
nld,160,1954
nld,141,1955
nld,154,1956
nld,145,1957
nld,101,1958
nld,124,1959
nld,94,1960
nld,93,1961
nld,84,1962
nld,84,1963
nld,85,1964
nld,63,1965
nld,51,1966
nld,64,1967
nld,51,1968
nld,48,1969
nld,35,1970
nld,27,1971
nld,24,1972
nld,23,1973
nld,22,1974
nld,18,1975
nld,17,1976
nld,17,1977
nld,18,1978
nld,17,1979
nld,16,1980
nld,21,1990
nld,22,1995
nld,30,2000
nld,19,2005
nld,13,2010
nld,10,2013
nzl,6,1980
nzl,10,1990
nzl,7,1995
nzl,7,2000
nzl,7,2005
nzl,8,2010
nzl,5,2013
nic,209,1980
nic,253,1990
nic,228,1995
nic,189,2000
nic,157,2005
nic,140,2010
nic,140,2013
ner,3548,1980
ner,4385,1990
ner,4727,1995
ner,5094,2000
ner,5303,2005
ner,5684,2010
ner,5600,2013
nga,17750,1980
nga,50640,1990
nga,51700,1995
nga,50260,2000
nga,43840,2005
nga,40100,2010
nga,40000,2013
nor,4,1980
nor,5,1990
nor,2,1995
nor,5,2000
nor,5,2005
nor,3,2010
nor,2,2013
omn,101,1980
omn,34,1990
omn,20,1995
omn,12,2000
omn,9,2005
omn,8,2010
omn,8,2013
pak,24690,1980
pak,17340,1990
pak,14710,1995
pak,12370,2000
pak,10620,2005
pak,9772,2010
pak,7900,2013
pan,49,1980
pan,63,1990
pan,62,1995
pan,55,2000
pan,59,2005
pan,61,2010
pan,64,2013
png,745,1980
png,687,1990
png,622,1995
png,636,2000
png,556,2005
png,497,2010
png,460,2013
pry,216,1980
pry,184,1990
pry,190,1995
pry,172,2000
pry,181,2005
pry,153,2010
pry,170,2013
per,1680,1980
per,1651,1990
per,1427,1995
per,999,2000
per,732,2005
per,615,2010
per,530,2013
phl,7689,1980
phl,2250,1990
phl,2818,1995
phl,2777,2000
phl,3039,2005
phl,2758,2010
phl,3000,2013
pol,154,1980
pol,97,1990
pol,65,1995
pol,30,2000
pol,19,2005
pol,16,2010
pol,14,2013
prt,45,1980
prt,17,1990
prt,11,1995
prt,12,2000
prt,12,2005
prt,11,2010
prt,8,2013
pri,18,1990
pri,17,1995
pri,13,2000
pri,10,2005
pri,9,2010
pri,9,2013
qat,4,1980
qat,1,1990
qat,1,1995
qat,1,2000
qat,1,2005
qat,1,2010
qat,1,2013
rou,554,1980
rou,541,1990
rou,173,1995
rou,118,2000
rou,65,2005
rou,60,2010
rou,75,2013
rus,1349,1980
rus,1479,1990
rus,1005,1995
rus,757,2000
rus,560,2005
rus,539,2010
rus,400,2013
rwa,2091,1980
rwa,4496,1990
rwa,4044,1995
rwa,3122,2000
rwa,2146,2005
rwa,1418,2010
rwa,1300,2013
lca,7,1980
lca,2,1990
lca,2,1995
lca,1,2000
lca,1,2005
lca,1,2010
lca,1,2013
vct,5,1980
vct,1,1990
vct,2,1995
vct,2,2000
vct,1,2005
vct,1,2010
vct,1,2013
wsm,14,1980
wsm,8,1990
wsm,6,1995
wsm,5,2000
wsm,4,2005
wsm,3,2010
wsm,3,2013
stp,23,1980
stp,18,1990
stp,18,1995
stp,16,2000
stp,15,2005
stp,14,2010
stp,14,2013
sau,592,1980
sau,238,1990
sau,180,1995
sau,136,2000
sau,110,2005
sau,98,2010
sau,89,2013
sen,1816,1980
sen,1737,1990
sen,1830,1995
sen,1898,2000
sen,1858,2005
sen,1837,2010
sen,1700,2013
srb,24,1980
srb,26,1990
srb,27,1995
srb,8,2000
srb,8,2005
srb,13,2010
srb,15,2013
syc,1,1990
syc,2,2000
sle,1786,1980
sle,4076,1990
