geo,time,rural_poverty_percent_rural_people_below_national_rural
alb,2002,29.6
dza,1988,16.6
dza,1995,30.3
arm,1999,50.76
arm,2001,48.7
aze,2001,42.0
bgd,1996,55.2
bgd,2000,52.3
bgd,2005,43.8
ben,1995,25.2
ben,1999,33.0
bol,1997,77.3
bol,1999,81.7
bol,2002,83.5
bih,2002,19.9
bra,1998,51.4
bra,2003,41.0
bfa,1998,61.1
bfa,2003,52.4
bdi,1990,36.0
bdi,1998,64.6
khm,1997,40.1
khm,2004,38.0
cmr,1996,59.6
cmr,2001,49.9
tcd,1996,67.0
chn,1996,7.9
chn,1998,4.6
col,1995,79.0
col,1999,79.0
cri,1992,25.5
cri,2004,28.3
dom,2000,45.3
dom,2004,55.7
ecu,1995,56.0
ecu,1998,69.0
egy,1996,23.3
slv,1995,64.8
slv,2002,49.8
est,1995,14.7
eth,1996,47.0
eth,2000,45.0
gmb,1998,61.0
gmb,2003,63.0
geo,2002,55.4
geo,2003,52.7
gha,1999,49.6
gha,2006,39.2
gtm,1989,71.9
gtm,2000,74.5
hti,1995,66.0
hnd,1999,71.2
hnd,2004,70.4
ind,1994,37.3
ind,2000,30.2
idn,1999,34.4
jam,1995,37.0
jam,2000,25.1
jor,1997,27.0
jor,2002,18.7
kaz,1996,39.0
ken,1994,47.0
ken,1997,53.0
kgz,2001,51.0
kgz,2003,57.5
kgz,2005,50.8
lao,1993,48.66
lao,1998,40.97
lva,2002,11.6
lva,2004,12.7
lso,1993,53.9
mkd,2002,25.3
mkd,2003,22.3
mdg,1997,76.0
mdg,1999,76.7
mwi,1998,66.5
mli,1998,75.9
mrt,1996,65.5
mrt,2000,61.2
mex,2000,42.4
mex,2002,34.8
mex,2004,27.9
mda,2001,64.05
mda,2002,67.16
mng,1995,33.1
mng,1998,32.6
mng,2002,43.4
mar,1991,18.0
mar,1999,27.2
moz,1997,71.3
moz,2003,55.3
npl,1996,43.27
npl,2004,34.6
nic,1993,76.1
nic,1998,68.5
ner,1993,66.0
nga,1985,49.5
nga,1993,36.4
pak,1993,33.4
pak,1999,35.9
pan,1997,64.9
png,1996,41.3
pry,1990,28.5
per,2001,77.1
per,2004,72.1
phl,1994,18.6
phl,1997,36.9
rou,1994,27.9
rwa,2000,65.7
sen,1992,40.44
sle,2004,79.0
lka,1991,22.0
lka,1996,27.0
lka,2002,7.9
swz,2001,75.0
tza,1991,40.8
tza,2001,38.7
tto,1992,20.0
tun,1990,13.1
tun,1995,13.9
tur,2002,34.48
uga,2000,37.4
uga,2003,41.7
ukr,2000,34.9
ukr,2003,28.4
uzb,2000,30.5
vnm,1998,45.5
vnm,2002,35.6
yem,1998,45.0
zmb,1998,83.1
zmb,2004,78.0
zwe,1991,35.8
zwe,1996,48.0
