inflation_annual_percent,geo,time
3.845,afg,2003
6.78,afg,2004
8.405,afg,2005
2.414,afg,2006
13.21,afg,2007
19.64,afg,2008
-1.163,afg,2009
3.683,afg,2010
-2.177,alb,1981
-0.01769,alb,1982
-0.01675,alb,1983
-0.02835,alb,1984
0.3512,alb,1985
-2.378,alb,1986
2.826e-05,alb,1987
1.563e-06,alb,1988
-1.697e-06,alb,1989
-0.4687,alb,1990
38.57,alb,1991
249.7,alb,1992
114.8,alb,1993
38.42,alb,1994
5.573,alb,1995
28.42,alb,1996
13.94,alb,1997
13.56,alb,1998
4.476,alb,1999
4.322,alb,2000
3.458,alb,2001
3.3,alb,2002
3.383,alb,2003
6.008,alb,2004
3.469,alb,2005
1.995,alb,2006
2.024,alb,2007
4.361,alb,2008
2.411,alb,2009
3.459,alb,2010
3.0,alb,2011
3.472,dza,1961
2.351,dza,1962
0.5493,dza,1963
1.695,dza,1964
1.501,dza,1965
1.818,dza,1966
1.312,dza,1967
3.142,dza,1968
1.921,dza,1969
4.94,dza,1970
17.15,dza,1971
-4.606,dza,1972
9.628,dza,1973
48.9,dza,1974
5.914,dza,1975
10.84,dza,1976
11.93,dza,1977
10.09,dza,1978
13.99,dza,1979
25.86,dza,1980
14.35,dza,1981
1.94,dza,1982
6.805,dza,1983
8.434,dza,1984
4.973,dza,1985
2.405,dza,1986
8.842,dza,1987
9.061,dza,1988
16.01,dza,1989
30.26,dza,1990
53.79,dza,1991
21.93,dza,1992
13.62,dza,1993
29.08,dza,1994
28.58,dza,1995
24.02,dza,1996
7.002,dza,1997
-3.131,dza,1998
10.86,dza,1999
24.6,dza,2000
0.7112,dza,2001
1.906,dza,2002
8.324,dza,2003
10.63,dza,2004
16.46,dza,2005
11.28,dza,2006
7.331,dza,2007
14.6,dza,2008
-11.27,dza,2009
16.25,dza,2010
11.43,dza,2011
7.846,and,1971
8.518,and,1972
11.85,and,1973
15.95,and,1974
16.78,and,1975
16.49,and,1976
23.38,and,1977
20.63,and,1978
16.93,and,1979
13.35,and,1980
12.35,and,1981
13.58,and,1982
11.88,and,1983
10.86,and,1984
8.595,and,1985
10.88,and,1986
5.944,and,1987
5.936,and,1988
6.896,and,1989
7.326,and,1990
6.935,and,1991
6.711,and,1992
4.537,and,1993
3.88,and,1994
4.933,and,1995
0.7972,and,1996
2.228,and,1997
1.5,and,1998
2.732,and,1999
4.514,and,2000
2.77,and,2001
3.4,and,2002
2.88,and,2003
3.35,and,2004
3.1,and,2005
3.2,and,2006
3.87,and,2007
3.185,and,2008
-9.135,ago,1986
7.658,ago,1987
2.291,ago,1988
15.93,ago,1989
10.86,ago,1990
165.4,ago,1991
252.7,ago,1992
1253.0,ago,1993
2125.0,ago,1994
1895.0,ago,1995
5400.0,ago,1996
94.32,ago,1997
35.32,ago,1998
556.9,ago,1999
418.2,ago,2000
108.5,ago,2001
120.5,ago,2002
102.5,ago,2003
42.71,ago,2004
25.95,ago,2005
13.04,ago,2006
12.62,ago,2007
19.68,ago,2008
-7.419,ago,2009
22.39,ago,2010
20.79,ago,2011
8.625,atg,1978
14.79,atg,1979
9.881,atg,1980
8.643,atg,1981
10.65,atg,1982
6.139,atg,1983
3.145,atg,1984
7.732,atg,1985
8.068,atg,1986
7.61,atg,1987
12.15,atg,1988
4.23,atg,1989
2.262,atg,1990
2.714,atg,1991
2.39,atg,1992
2.224,atg,1993
3.021,atg,1994
3.127,atg,1995
2.575,atg,1996
2.175,atg,1997
2.416,atg,1998
0.9696,atg,1999
21.32,atg,2000
-3.206,atg,2001
1.129,atg,2002
0.1926,atg,2003
-0.4076,atg,2004
6.311,atg,2005
0.3028,atg,2006
23.26,atg,2007
3.022,atg,2008
-0.01383,atg,2009
4.28,atg,2010
2.084,atg,2011
20.31,arg,1961
28.87,arg,1962
25.59,arg,1963
28.77,arg,1964
21.23,arg,1965
25.6,arg,1966
29.02,arg,1967
10.28,arg,1968
7.796,arg,1969
6.468,arg,1970
31.27,arg,1971
64.24,arg,1972
65.54,arg,1973
30.63,arg,1974
197.7,arg,1975
438.3,arg,1976
159.4,arg,1977
161.4,arg,1978
147.4,arg,1979
90.84,arg,1980
106.4,arg,1981
207.6,arg,1982
382.3,arg,1983
606.7,arg,1984
625.8,arg,1985
74.46,arg,1986
127.1,arg,1987
388.5,arg,1988
3058.0,arg,1989
2077.0,arg,1990
133.0,arg,1991
11.92,arg,1992
-1.467,arg,1993
2.849,arg,1994
3.165,arg,1995
-0.05242,arg,1996
-0.464,arg,1997
-1.705,arg,1998
-1.837,arg,1999
1.037,arg,2000
-1.096,arg,2001
30.56,arg,2002
10.5,arg,2003
9.221,arg,2004
8.84,arg,2005
13.43,arg,2006
14.26,arg,2007
19.07,arg,2008
9.977,arg,2009
15.38,arg,2010
17.28,arg,2011
79.39,arm,1991
568.8,arm,1992
1391.0,arm,1993
4107.0,arm,1994
161.2,arm,1995
19.59,arm,1996
17.74,arm,1997
10.7,arm,1998
0.0538,arm,1999
-1.374,arm,2000
4.069,arm,2001
2.37,arm,2002
4.561,arm,2003
6.31,arm,2004
3.24,arm,2005
