geo,co2_emissions_tonnes_per_person,time
afg,0.001816,1949
afg,0.01035,1950
afg,0.01108,1951
afg,0.0109,1952
afg,0.01245,1953
afg,0.01224,1954
afg,0.01744,1955
afg,0.0204,1956
afg,0.03207,1957
afg,0.03543,1958
afg,0.04057,1959
afg,0.04284,1960
afg,0.04983,1961
afg,0.06855,1962
afg,0.06896,1963
afg,0.08016,1964
afg,0.09425,1965
afg,0.09999,1966
afg,0.115,1967
afg,0.1073,1968
afg,0.0807,1969
afg,0.1397,1970
afg,0.1545,1971
afg,0.1217,1972
afg,0.1269,1973
afg,0.145,1974
afg,0.1575,1975
afg,0.1444,1976
afg,0.1707,1977
afg,0.1523,1978
afg,0.1572,1979
afg,0.1241,1980
afg,0.1419,1981
afg,0.1537,1982
afg,0.1897,1983
afg,0.2189,1984
afg,0.2779,1985
afg,0.254,1986
afg,0.2564,1987
afg,0.2359,1988
afg,0.2236,1989
afg,0.2054,1990
afg,0.1772,1991
afg,0.09219,1992
afg,0.08063,1993
afg,0.07114,1994
afg,0.06411,1995
afg,0.05796,1996
afg,0.05233,1997
afg,0.04855,1998
afg,0.03745,1999
afg,0.03417,2000
afg,0.02726,2001
afg,0.01458,2002
afg,0.0227,2003
afg,0.02747,2004
afg,0.03678,2005
afg,0.04709,2006
afg,0.06831,2007
afg,0.1316,2008
afg,0.2133,2009
afg,0.2622,2010
alb,0.007348,1933
alb,0.007311,1934
alb,0.01817,1935
alb,0.1266,1936
alb,0.2883,1937
alb,0.3349,1938
alb,0.4044,1939
alb,0.6369,1940
alb,0.57,1941
alb,0.6664,1942
alb,0.4129,1943
alb,0.1373,1944
alb,0.1063,1945
alb,0.4194,1946
alb,0.7895,1947
alb,0.5906,1948
alb,0.8401,1949
alb,0.2444,1950
alb,0.3253,1951
alb,0.2947,1952
alb,0.3181,1953
alb,0.3751,1954
alb,0.4813,1955
alb,0.5907,1956
alb,1.028,1957
alb,0.795,1958
alb,0.9255,1959
alb,1.257,1960
alb,1.373,1961
alb,1.439,1962
alb,1.18,1963
alb,1.11,1964
alb,1.163,1965
alb,1.327,1966
alb,1.356,1967
alb,1.514,1968
alb,1.558,1969
alb,1.753,1970
alb,1.989,1971
alb,2.517,1972
alb,2.306,1973
alb,1.851,1974
alb,1.914,1975
alb,2.017,1976
alb,2.281,1977
alb,2.534,1978
alb,2.899,1979
alb,1.935,1980
alb,2.694,1981
alb,2.631,1982
alb,2.695,1983
alb,2.707,1984
alb,2.664,1985
alb,2.656,1986
alb,2.389,1987
alb,2.293,1988
alb,2.759,1989
alb,2.276,1990
alb,1.206,1991
alb,0.7306,1992
alb,0.7265,1993
alb,0.6066,1994
alb,0.6642,1995
alb,0.6479,1996
alb,0.4993,1997
alb,0.5692,1998
alb,0.9713,1999
alb,0.9836,2000
alb,1.047,2001
alb,1.214,2002
alb,1.382,2003
