geo,storm_affected_annual_number,time
afg,0,1970
afg,0,1971
afg,0,1972
afg,0,1973
afg,0,1974
afg,0,1975
afg,0,1976
afg,0,1977
afg,0,1978
afg,0,1979
afg,0,1980
afg,0,1981
afg,0,1982
afg,0,1983
afg,0,1984
afg,0,1985
afg,0,1986
afg,0,1987
afg,0,1988
afg,0,1989
afg,0,1990
afg,0,1991
afg,0,1992
afg,10,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,0,1998
afg,0,1999
afg,0,2000
afg,0,2001
afg,0,2002
afg,0,2003
afg,0,2004
afg,22920,2005
afg,71,2006
afg,0,2007
afg,0,2008
alb,0,1970
alb,0,1971
alb,0,1972
alb,0,1973
alb,0,1974
alb,0,1975
alb,0,1976
alb,0,1977
alb,0,1978
alb,0,1979
alb,0,1980
alb,0,1981
alb,0,1982
alb,0,1983
alb,0,1984
alb,0,1985
alb,0,1986
alb,0,1987
alb,0,1988
alb,0,1989
alb,0,1990
alb,0,1991
alb,0,1992
alb,0,1993
alb,0,1994
alb,0,1995
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,125000,2002
alb,0,2003
alb,0,2004
alb,400000,2005
alb,0,2006
alb,0,2007
alb,0,2008
dza,0,1970
dza,0,1971
dza,0,1972
dza,0,1973
dza,0,1974
dza,0,1975
dza,0,1976
dza,0,1977
dza,0,1978
dza,0,1979
dza,0,1980
dza,0,1981
dza,0,1982
dza,0,1983
dza,0,1984
dza,0,1985
dza,0,1986
dza,0,1987
dza,10110,1988
dza,0,1989
dza,0,1990
dza,0,1991
dza,0,1992
dza,0,1993
dza,0,1994
dza,0,1995
dza,0,1996
dza,0,1997
dza,0,1998
dza,0,1999
dza,14,2000
dza,0,2001
dza,0,2002
dza,13,2003
dza,0,2004
dza,15,2005
dza,0,2006
dza,0,2007
dza,0,2008
asm,0,1970
asm,0,1971
asm,0,1972
asm,0,1973
asm,0,1974
asm,0,1975
asm,0,1976
asm,0,1977
asm,0,1978
asm,0,1979
asm,0,1980
asm,0,1981
asm,0,1982
asm,0,1983
asm,0,1984
asm,0,1985
asm,0,1986
asm,0,1987
asm,0,1988
asm,0,1989
asm,0,1990
asm,0,1991
asm,0,1992
asm,0,1993
asm,0,1994
asm,0,1995
asm,0,1996
asm,0,1997
asm,0,1998
asm,0,1999
asm,0,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,23060,2004
asm,0,2005
asm,0,2006
asm,0,2007
asm,0,2008
aia,0,1970
aia,0,1971
aia,0,1972
aia,0,1973
aia,0,1974
aia,0,1975
aia,0,1976
aia,0,1977
aia,0,1978
aia,0,1979
aia,0,1980
aia,0,1981
aia,0,1982
aia,0,1983
aia,0,1984
aia,0,1985
aia,0,1986
aia,0,1987
aia,0,1988
aia,0,1989
aia,0,1990
aia,0,1991
aia,0,1992
aia,0,1993
aia,0,1994
aia,0,1995
aia,0,1996
aia,0,1997
aia,0,1998
aia,150,1999
aia,0,2000
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2005
aia,0,2006
aia,0,2007
aia,0,2008
atg,0,1970
atg,0,1971
atg,0,1972
atg,0,1973
atg,0,1974
atg,0,1975
atg,0,1976
atg,0,1977
atg,0,1978
atg,0,1979
atg,0,1980
atg,0,1981
atg,0,1982
atg,0,1983
atg,0,1984
atg,0,1985
atg,0,1986
atg,0,1987
atg,0,1988
atg,8032,1989
atg,0,1990
