concept,name,concept_type,description,indicator_url,unit,interpolation,drill_up,domain,scales
geographic_regions,Geographic regions,entity_set,,,,,,geo,
income_groups,Income groups,entity_set,,,,,,geo,
landlocked,Landlocked,entity_set,,,,,,geo,
g77_and_oecd_countries,G77 and OECD countries,entity_set,,,,,,geo,
geographic_regions_in_4_colors,Geographic regions in 4 colors,entity_set,,,,,,geo,
main_religion_2008,Main religion 2008,entity_set,,,,,,geo,
description,Description,string,,,,,,,
indicator_url,Indicator url,string,,,,,,,
name,Name,string,,,,,,,
unit,Unit,string,,,,,,,
interpolation,interpolation,string,,,,,,,
geo,Geo,entity_domain,,,,,,,
country,Country,entity_set,,,,,"['geographic_regions', 'income_groups', 'landlocked', 'g77_and_oecd_countries', 'geographic_regions_in_4_colors', 'main_religion_2008']",geo,
time,Time,time,,,,,,,
name_short,Name Short,string,,,,,,,
name_long,Name Long,string,,,,,,,
world_4region,World Regions,entity_set,,,,,,geo,
latitude,Latitude,measure,,,degrees,,,,
longitude,Longitude,measure,,,degrees,,,,
global,World,entity_set,,,,,,geo,
color,Color,string,,,,,,,
gapminder_list,Gapminder list,string,,,,,,,
alternative_1,Alternative 1,string,,,,,,,
alternative_2,Alternative 2,string,,,,,,,
alternative_3,Alternative 3,string,,,,,,,
alternative_4_cdiac,Alternative 4 (CDIAC),string,,,,,,,
pandg,pandg,string,,,,,,,
god_id,GOD_ID,string,,,,,,,
alt_5,ALT 5,string,,,,,,,
upper_case_name,Upper Case Name,string,,,,,,,
code,CODE,string,,,,,,,
number,Number,string,,,,,,,
gwid,Gwid,string,,,,,,,
arb1,arb1,string,,,,,,,
arb2,arb2,string,,,,,,,
arb3,arb3,string,,,,,,,
arb4,arb4,string,,,,,,,
arb5,arb5,string,,,,,,,
arb6,arb6,string,,,,,,,
children_per_woman_total_fertility,Babies per woman,measure,Total fertility rate. The number of children that would be born to each woman with prevailing age-specific fertility rates. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0TAlJeCEzcGQ,,,,,"['linear', 'log']"
co2_emissions_tonnes_per_person,CO2 emissions,measure,Carbon dioxide emissions from the burning of fossil fuels (metric tonnes of CO2 per person). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1gkNuUEXOGag,tons per person,,,,"['linear', 'log']"
income_per_person_gdppercapita_ppp_inflation_adjusted,Income per person,measure,"Gross domestic product per person adjusted for differences in purchasing power (in international dollars, fixed 2005 prices, PPP based on 2005 ICP). ",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1jiMAkmq1iMg,$/year (GDP/capita),,,,"['log', 'linear']"
child_mortality_0_5_year_olds_dying_per_1000_born,Child mortality rate,measure,"Death of children under five years of age per 1,000 live births ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCcGhBd2NOQVZ1eWowNVpSNjl1c3lRSWc,deaths under age 5 per 1000 births,,,,"['log', 'linear']"
life_expectancy_years,Life expectancy,measure,The average number of years a newborn child would live if current mortality patterns were to stay the same. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2tPLxKvvnNPA,years,,,,"['linear', 'log']"
aid_given_2007_us,Aid given,measure,"Total amount of allocable aid for official development assistance (ODA) given by the donor countries, expressed in constant 2007 US$.",http://spreadsheets.google.com/pub?key=tFOn62dEO9QCyIKK6kgSYRQ,$,,,,"['linear', 'log']"
aid_given_per_person_2007_us,Aid given per person,measure,Total amount of official development assistance (ODA) aid that has been given during this year divided by the population of the country (2007 US$),http://spreadsheets.google.com/pub?key=tGTst0WEm8V8zI9LOYvGmTg,$,,,,"['linear', 'log']"
aid_given_percent_of_gni,"Aid given, % of GNI",measure,Percentage of the gross national income (GNI) of each recepient country that has been given as official development assistance (ODA) aid during this year. ,http://spreadsheets.google.com/pub?key=tQR7RhlZdPjBkVCDPPF4zUg,,,,,"['linear', 'log']"
water_and_sanitation_aid_given_percent_of_aid,Water and sanitation aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in water and sanitation.,http://spreadsheets.google.com/pub?key=tXn3DSfvsYujaBP9bvH6acg,% of aid,,,,"['linear', 'log']"
economical_infrastructure_aid_given_percent_of_aid,Economical infrastructure aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in economical infrastructures.,http://spreadsheets.google.com/pub?key=tMxqFNS7BC5QyLrhBO8DXqQ,% of aid,,,,"['linear', 'log']"
production_sector_aid_given_percent_of_aid,Production sector aid given,measure,"Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in production sectors, including agriculture and industry, etc.",http://spreadsheets.google.com/pub?key=tMjW0fdVf9VJaxVk_VFSUhg,% of aid,,,,"['linear', 'log']"
multisector_cross_cutting_aid_given_percent_of_aid,Multisector cross-cutting aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in multisector cross-cutting.,http://spreadsheets.google.com/pub?key=tBJ1rYQ-nA6fqI6_Gn3mBNg,% of aid,,,,"['linear', 'log']"
education_aid_given_percent_of_aid,Education aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in education.,http://spreadsheets.google.com/pub?key=tQQaILpdu-vGtSkJLr2VQCw,% of aid,,,,"['linear', 'log']"
health_aid_given_percent_of_aid,Health aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in health.,http://spreadsheets.google.com/pub?key=tRybjVoG5Ah9yhKcEx16u5Q,% of aid,,,,"['linear', 'log']"
population_policies_aid_given_percent_of_aid,Population policies aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in population policies/programs and reproductive health.,http://spreadsheets.google.com/pub?key=tjFf_YqwB6tgSG9L0r0Ywdg,% of aid,,,,"['linear', 'log']"
government_and_society_aid_given_percent_of_aid,Government and society aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in government and civil societies.,http://spreadsheets.google.com/pub?key=t3IAEOsfHK-z6rvGLCDR74g,% of aid,,,,"['linear', 'log']"
other_social_services_aid_given_percent_of_aid,Other social services aid given,measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in other social infrastructures and services.,http://spreadsheets.google.com/pub?key=tqjUijP4mi_dHKkCZjOn0oA,% of aid,,,,"['linear', 'log']"
aid_received_total_us_inflation_adjusted,Aid received,measure,"The sum of aid each recepient country gets during this year from all donor countries in all sectors, expressed in fixed 2007 US$.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHVuNVpKdnNCa08yV3NOd0Zsal9JaWc,$,,,,"['linear', 'log']"
aid_received_per_person_current_us,Aid received per person,measure,"The average amount of aid each person in the recepient country gets during this year from all donor countries in all sectors, expressed in current US$.",http://spreadsheets.google.com/pub?key=t9GL1nIZdtxszJbjKErN2Hg,$,,,,"['log', 'linear']"
aid_received_percent_of_gni,"Aid received, % of GNI",measure,Percentage of the gross national income (GNI) of each recepient country that comes from official development assistance (ODA) aid during this year. ,http://spreadsheets.google.com/pub?key=tzK6dx2JltRfVXFI1ADh84w,,,,,"['linear', 'log']"
dollar_billionaires_per_million_people,Dollar billionaires per million,measure,"Number of billionaires among every 1 million people in the country of their citizenship, calculation based on data from Forbes.com",http://spreadsheets.google.com/pub?key=tAQpQeQkuyA1-ZovdDJ7JAw,,,,,"['log', 'linear']"
average_age_of_dollar_billionaires_years,Average age of $ billionaires,measure,"The average age of billionaires in the country of their citizenship, calculation based on data from Forbes.com",http://spreadsheets.google.com/pub?key=t_KhYe1qTGh4c90N61AUDSg,years,,,,"['linear', 'log']"
total_number_of_dollar_billionaires,Dollar billionaires,measure,"Total number of billionaires in the country of their citizenship, provided by Forbes.com",http://spreadsheets.google.com/pub?key=tNWhbu-1UIPPxtmRHtnINOQ,,,,,"['linear', 'log']"
debt_to_foreigners_by_public_and_private_percent_of_gni,Debt to foreigners,measure,"External debt, total (% of GNI)",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDlSTTVWUkU3Z254aEhERmVuQWZaeWc,"public & private, % of GNI",,,,"['linear', 'log']"
