yearly_co2_emissions_1000_tonnes,geo,time
14.67,afg,1949
84.33,afg,1950
91.67,afg,1951
91.67,afg,1952
106.3,afg,1953
106.3,afg,1954
154.0,afg,1955
183.3,afg,1956
293.3,afg,1957
330.0,afg,1958
385.0,afg,1959
414.3,afg,1960
491.3,afg,1961
689.3,afg,1962
707.7,afg,1963
839.7,afg,1964
1008.0,afg,1965
1093.0,afg,1966
1283.0,afg,1967
1225.0,afg,1968
942.3,afg,1969
1672.0,afg,1970
1896.0,afg,1971
1533.0,afg,1972
1639.0,afg,1973
1918.0,afg,1974
2127.0,afg,1975
1987.0,afg,1976
2391.0,afg,1977
2160.0,afg,1978
2240.0,afg,1979
1760.0,afg,1980
1984.0,afg,1981
2101.0,afg,1982
2523.0,afg,1983
2831.0,afg,1984
3509.0,afg,1985
3142.0,afg,1986
3124.0,afg,1987
2867.0,afg,1988
2776.0,afg,1989
2677.0,afg,1990
2493.0,afg,1991
1426.0,afg,1992
1375.0,afg,1993
1320.0,afg,1994
1269.0,afg,1995
1199.0,afg,1996
1115.0,afg,1997
1056.0,afg,1998
832.3,afg,1999
781.0,afg,2000
645.3,afg,2001
359.3,afg,2002
583.0,afg,2003
733.3,afg,2004
1016.0,afg,2005
1338.0,afg,2006
1991.0,afg,2007
3927.0,afg,2008
6523.0,afg,2009
8235.0,afg,2010
7.333,alb,1933
7.333,alb,1934
18.33,alb,1935
128.3,alb,1936
297.0,alb,1937
348.3,alb,1938
432.7,alb,1939
693.0,alb,1940
627.0,alb,1941
744.3,alb,1942
462.0,alb,1943
154.0,alb,1944
121.0,alb,1945
484.0,alb,1946
927.7,alb,1947
704.0,alb,1948
1016.0,alb,1949
297.0,alb,1950
403.3,alb,1951
374.0,alb,1952
414.3,alb,1953
502.3,alb,1954
663.7,alb,1955
839.7,alb,1956
1507.0,alb,1957
1203.0,alb,1958
1445.0,alb,1959
2024.0,alb,1960
2281.0,alb,1961
2464.0,alb,1962
2083.0,alb,1963
2017.0,alb,1964
2174.0,alb,1965
2552.0,alb,1966
2680.0,alb,1967
3073.0,alb,1968
3245.0,alb,1969
3744.0,alb,1970
4352.0,alb,1971
5643.0,alb,1972
5291.0,alb,1973
4345.0,alb,1974
4594.0,alb,1975
4950.0,alb,1976
5720.0,alb,1977
6494.0,alb,1978
7586.0,alb,1979
5170.0,alb,1980
7341.0,alb,1981
7308.0,alb,1982
7630.0,alb,1983
7825.0,alb,1984
7880.0,alb,1985
8056.0,alb,1986
7443.0,alb,1987
7326.0,alb,1988
8983.0,alb,1989
7487.0,alb,1990
3971.0,alb,1991
2387.0,alb,1992
2343.0,alb,1993
1929.0,alb,1994
2086.0,alb,1995
2017.0,alb,1996
1544.0,alb,1997
1753.0,alb,1998
2985.0,alb,1999
3021.0,alb,2000
3223.0,alb,2001
3751.0,alb,2002
4294.0,alb,2003
4165.0,alb,2004
4253.0,alb,2005
3865.0,alb,2006
4055.0,alb,2007
4129.0,alb,2008
3879.0,alb,2009
4283.0,alb,2010
0.0,dza,1900
0.0,dza,1901
0.0,dza,1902
0.0,dza,1903
0.0,dza,1904
0.0,dza,1905
3.667,dza,1916
7.333,dza,1917
18.33,dza,1918
18.33,dza,1919
22.0,dza,1920
25.67,dza,1921
25.67,dza,1922
14.67,dza,1923
29.33,dza,1924
33.0,dza,1925
40.33,dza,1926
58.67,dza,1927
73.33,dza,1928
80.67,dza,1929
84.33,dza,1930
99.0,dza,1931
113.7,dza,1932
121.0,dza,1933
139.3,dza,1934
132.0,dza,1935
51.33,dza,1936
69.67,dza,1937
33.0,dza,1938
161.3,dza,1939
238.3,dza,1940
311.7,dza,1941
498.7,dza,1942
469.3,dza,1943
498.7,dza,1944
616.0,dza,1945
762.7,dza,1946
744.3,dza,1947
803.0,dza,1948
909.3,dza,1949
3788.0,dza,1950
4136.0,dza,1951
3894.0,dza,1952
4004.0,dza,1953
4158.0,dza,1954
4613.0,dza,1955
5001.0,dza,1956
5544.0,dza,1957
5221.0,dza,1958
5665.0,dza,1959
6160.0,dza,1960
6065.0,dza,1961
5669.0,dza,1962
5427.0,dza,1963
5650.0,dza,1964
6596.0,dza,1965
8430.0,dza,1966
8441.0,dza,1967
9060.0,dza,1968
11280.0,dza,1969
15070.0,dza,1970
18670.0,dza,1971
28350.0,dza,1972
38310.0,dza,1973
31900.0,dza,1974
32030.0,dza,1975
39170.0,dza,1976
41890.0,dza,1977
62520.0,dza,1978
45620.0,dza,1979
66510.0,dza,1980
46430.0,dza,1981
39270.0,dza,1982
52620.0,dza,1983
71100.0,dza,1984
72780.0,dza,1985
76270.0,dza,1986
