geo,population_total,time
afg,3280000,1800
afg,3280000,1810
afg,3324000,1820
afg,3449000,1830
afg,3625000,1840
afg,3810000,1850
afg,3974000,1860
afg,4170000,1870
afg,4420000,1880
afg,4710000,1890
afg,5021000,1900
afg,5351000,1910
afg,5814000,1920
afg,6395000,1930
afg,7034000,1940
afg,7752000,1950
afg,7839000,1951
afg,7935000,1952
afg,8038000,1953
afg,8150000,1954
afg,8270000,1955
afg,8398000,1956
afg,8535000,1957
afg,8680000,1958
afg,8833000,1959
afg,8995000,1960
afg,9165000,1961
afg,9344000,1962
afg,9532000,1963
afg,9729000,1964
afg,9935000,1965
afg,10150000,1966
afg,10370000,1967
afg,10600000,1968
afg,10850000,1969
afg,11120000,1970
afg,11410000,1971
afg,11720000,1972
afg,12020000,1973
afg,12320000,1974
afg,12580000,1975
afg,12830000,1976
afg,13060000,1977
afg,13220000,1978
afg,13280000,1979
afg,13210000,1980
afg,13000000,1981
afg,12670000,1982
afg,12280000,1983
afg,11910000,1984
afg,11630000,1985
afg,11440000,1986
afg,11340000,1987
afg,11380000,1988
afg,11610000,1989
afg,12070000,1990
afg,12790000,1991
afg,13750000,1992
afg,14820000,1993
afg,15870000,1994
afg,16770000,1995
afg,17480000,1996
afg,18030000,1997
afg,18510000,1998
afg,19040000,1999
afg,19700000,2000
afg,20530000,2001
afg,21490000,2002
afg,22510000,2003
afg,23500000,2004
afg,24400000,2005
afg,25180000,2006
afg,25880000,2007
afg,26530000,2008
afg,27210000,2009
afg,27960000,2010
afg,28810000,2011
afg,29730000,2012
afg,30680000,2013
afg,31630000,2014
afg,32530000,2015
akr_a_dhe,10660,1950
akr_a_dhe,10740,1951
akr_a_dhe,10810,1952
akr_a_dhe,10890,1953
akr_a_dhe,10970,1954
akr_a_dhe,11040,1955
akr_a_dhe,11120,1956
akr_a_dhe,11200,1957
akr_a_dhe,11280,1958
akr_a_dhe,11360,1959
akr_a_dhe,11440,1960
akr_a_dhe,11520,1961
akr_a_dhe,11600,1962
akr_a_dhe,11680,1963
akr_a_dhe,11760,1964
akr_a_dhe,11850,1965
akr_a_dhe,11930,1966
akr_a_dhe,12020,1967
akr_a_dhe,12100,1968
akr_a_dhe,12190,1969
akr_a_dhe,12270,1970
akr_a_dhe,12360,1971
akr_a_dhe,12450,1972
akr_a_dhe,12540,1973
akr_a_dhe,12620,1974
akr_a_dhe,12710,1975
akr_a_dhe,12800,1976
akr_a_dhe,12890,1977
akr_a_dhe,12980,1978
akr_a_dhe,13080,1979
akr_a_dhe,13170,1980
akr_a_dhe,13260,1981
akr_a_dhe,13350,1982
akr_a_dhe,13450,1983
akr_a_dhe,13540,1984
akr_a_dhe,13640,1985
akr_a_dhe,13740,1986
akr_a_dhe,13830,1987
akr_a_dhe,13930,1988
akr_a_dhe,14030,1989
akr_a_dhe,14130,1990
akr_a_dhe,14230,1991
akr_a_dhe,14330,1992
akr_a_dhe,14430,1993
akr_a_dhe,14530,1994
akr_a_dhe,14630,1995
akr_a_dhe,14740,1996
akr_a_dhe,14840,1997
akr_a_dhe,14950,1998
akr_a_dhe,15050,1999
akr_a_dhe,15160,2000
akr_a_dhe,15260,2001
akr_a_dhe,15370,2002
akr_a_dhe,15480,2003
akr_a_dhe,15590,2004
