old_version_of_income_per_person_version_8,geo,time
472.1,afg,1800
472.1,afg,1820
638.4,afg,1913
757.3,afg,1950
766.8,afg,1951
779.4,afg,1952
812.9,afg,1953
815.4,afg,1954
816.4,afg,1955
837.1,afg,1956
820.9,afg,1957
849.7,afg,1958
856.2,afg,1959
868.5,afg,1960
857.4,afg,1961
853.1,afg,1962
849.4,afg,1963
846.3,afg,1964
845.2,afg,1965
833.6,afg,1966
836.2,afg,1967
845.1,afg,1968
837.6,afg,1969
833.3,afg,1970
773.7,afg,1971
740.0,afg,1972
803.5,afg,1973
825.6,afg,1974
846.4,afg,1975
866.2,afg,1976
786.1,afg,1977
827.1,afg,1978
809.1,afg,1979
810.4,afg,1980
896.9,afg,1981
978.0,afg,1982
1013.0,afg,1983
994.6,afg,1984
961.9,afg,1985
1031.0,afg,1986
852.4,afg,1987
770.0,afg,1988
751.4,afg,1989
709.5,afg,1990
705.4,afg,1991
649.3,afg,1992
558.9,afg,1993
500.4,afg,1994
601.9,afg,1995
617.9,afg,1996
635.3,afg,1997
653.3,afg,1998
671.0,afg,1999
663.9,afg,2000
595.0,afg,2001
726.7,afg,2002
785.1,afg,2003
804.7,afg,2004
874.0,afg,2005
910.4,afg,2006
1013.0,afg,2007
1019.0,afg,2008
1217.0,afg,2009
601.2,alb,1800
613.8,alb,1820
682.7,alb,1870
914.8,alb,1890
1048.0,alb,1900
1194.0,alb,1910
1241.0,alb,1913
1418.0,alb,1929
1532.0,alb,1950
1598.0,alb,1951
1601.0,alb,1952
1666.0,alb,1953
1715.0,alb,1954
1807.0,alb,1955
1825.0,alb,1956
1942.0,alb,1957
2030.0,alb,1958
2113.0,alb,1959
2220.0,alb,1960
2239.0,alb,1961
2313.0,alb,1962
2392.0,alb,1963
2474.0,alb,1964
2564.0,alb,1965
2660.0,alb,1966
2760.0,alb,1967
2860.0,alb,1968
2957.0,alb,1969
3066.0,alb,1970
3189.0,alb,1971
3313.0,alb,1972
3478.0,alb,1973
3491.0,alb,1974
3504.0,alb,1975
3518.0,alb,1976
3533.0,alb,1977
3549.0,alb,1978
3567.0,alb,1979
3592.0,alb,1980
3611.0,alb,1981
3631.0,alb,1982
3652.0,alb,1983
3673.0,alb,1984
3692.0,alb,1985
3716.0,alb,1986
3739.0,alb,1987
3763.0,alb,1988
3791.0,alb,1989
3825.0,alb,1990
2718.0,alb,1991
2497.0,alb,1992
2717.0,alb,1993
2919.0,alb,1994
3286.0,alb,1995
3570.0,alb,1996
3193.0,alb,1997
3585.0,alb,1998
3928.0,alb,1999
4195.0,alb,2000
4476.0,alb,2001
4604.0,alb,2002
4855.0,alb,2003
5115.0,alb,2004
5369.0,alb,2005
5635.0,alb,2006
5967.0,alb,2007
6400.0,alb,2008
6546.0,alb,2009
766.3,dza,1800
765.9,dza,1820
1273.0,dza,1870
2071.0,dza,1913
2429.0,dza,1950
2398.0,dza,1951
2449.0,dza,1952
2436.0,dza,1953
2558.0,dza,1954
2572.0,dza,1955
2764.0,dza,1956
3014.0,dza,1957
3060.0,dza,1958
3548.0,dza,1959
3717.0,dza,1960
3203.0,dza,1961
2551.0,dza,1962
3147.0,dza,1963
3214.0,dza,1964
3328.0,dza,1965
3071.0,dza,1966
3247.0,dza,1967
3520.0,dza,1968
3748.0,dza,1969
4004.0,dza,1970
3559.0,dza,1971
4183.0,dza,1972
4195.0,dza,1973
4321.0,dza,1974
4489.0,dza,1975
4643.0,dza,1976
4910.0,dza,1977
5373.0,dza,1978
5682.0,dza,1979
5610.0,dza,1980
5573.0,dza,1981
5745.0,dza,1982
5854.0,dza,1983
5987.0,dza,1984
6107.0,dza,1985
5876.0,dza,1986
5681.0,dza,1987
5416.0,dza,1988
5458.0,dza,1989
5245.0,dza,1990
5061.0,dza,1991
5023.0,dza,1992
4800.0,dza,1993
4653.0,dza,1994
