geo,sex_ratio_all_age_groups,time
afg,107.3,1950
afg,107.5,1955
afg,107.7,1960
afg,107.8,1965
afg,107.8,1970
afg,107.9,1975
afg,107.9,1980
afg,107.8,1985
afg,107.8,1990
afg,107.6,1995
afg,107.5,2000
afg,107.5,2005
afg,107.4,2010
afg,107.4,2015
afg,107.3,2020
afg,107.3,2025
afg,107.2,2030
afg,107.2,2035
afg,107.1,2040
afg,107.1,2045
afg,106.9,2050
alb,101.4,1950
alb,101.2,1955
alb,101.5,1960
alb,101.8,1965
alb,102.1,1970
alb,102.3,1975
alb,106.6,1980
alb,106.5,1985
alb,105.3,1990
alb,101.5,1995
alb,98.83,2000
alb,97.99,2005
alb,97.34,2010
alb,96.9,2015
alb,96.47,2020
alb,96.08,2025
alb,95.7,2030
alb,95.33,2035
alb,95.06,2040
alb,94.97,2045
alb,95.09,2050
dza,104.1,1950
dza,102.9,1955
dza,101.3,1960
dza,101.0,1965
dza,95.68,1970
dza,97.34,1975
dza,100.7,1980
dza,101.2,1985
dza,101.5,1990
dza,101.8,1995
dza,101.8,2000
dza,101.9,2005
dza,101.9,2010
dza,101.9,2015
dza,101.9,2020
dza,101.8,2025
dza,101.6,2030
dza,101.3,2035
dza,100.9,2040
dza,100.6,2045
dza,100.2,2050
ago,96.28,1950
ago,96.11,1955
ago,96.09,1960
ago,96.18,1965
ago,96.33,1970
ago,96.52,1975
ago,96.76,1980
ago,96.96,1985
ago,97.06,1990
ago,97.15,1995
ago,97.18,2000
ago,97.22,2005
ago,97.21,2010
ago,97.2,2015
ago,97.19,2020
ago,97.18,2025
ago,97.16,2030
ago,97.12,2035
ago,97.07,2040
ago,97.02,2045
ago,96.94,2050
arg,106.0,1950
arg,104.0,1955
arg,102.4,1960
arg,101.0,1965
arg,99.74,1970
arg,98.67,1975
arg,97.54,1980
arg,97.0,1985
arg,96.67,1990
arg,96.48,1995
arg,96.36,2000
arg,96.25,2005
arg,96.27,2010
arg,96.32,2015
arg,96.34,2020
arg,96.29,2025
arg,96.16,2030
arg,95.97,2035
arg,95.75,2040
arg,95.5,2045
arg,95.23,2050
arm,90.28,1950
arm,91.52,1955
arm,93.25,1960
arm,94.64,1965
arm,95.5,1970
arm,95.31,1975
arm,95.1,1980
arm,95.69,1985
arm,94.2,1990
arm,90.22,1995
arm,88.75,2000
arm,87.63,2005
arm,87.3,2010
arm,87.62,2015
arm,88.08,2020
arm,88.42,2025
arm,88.73,2030
arm,89.05,2035
arm,89.45,2040
arm,90.0,2045
arm,90.7,2050
abw,93.59,1950
abw,94.76,1955
abw,95.58,1960
abw,95.95,1965
abw,95.99,1970
abw,95.3,1975
abw,95.03,1980
abw,95.9,1985
abw,96.87,1990
abw,97.33,1995
abw,93.82,2000
abw,92.31,2005
abw,92.09,2010
abw,91.9,2015
abw,91.73,2020
abw,91.61,2025
abw,91.5,2030
abw,91.49,2035
abw,91.63,2040
abw,92.06,2045
abw,92.8,2050
aus,101.7,1950
aus,102.5,1955
aus,102.2,1960
aus,101.5,1965
aus,101.6,1970
aus,100.7,1975
aus,99.74,1980
aus,99.64,1985
aus,99.39,1990
aus,98.97,1995
aus,98.42,2000
aus,98.71,2005
aus,98.87,2010
aus,98.97,2015
aus,99.02,2020
aus,99.02,2025
aus,98.95,2030
aus,98.84,2035
aus,98.79,2040
aus,98.82,2045
aus,98.93,2050
aut,86.64,1950
aut,86.77,1955
aut,87.19,1960
aut,88.03,1965
aut,89.08,1970
aut,89.56,1975
aut,89.58,1980
aut,90.39,1985
aut,91.8,1990
aut,93.18,1995
aut,93.67,2000
aut,94.55,2005
aut,95.31,2010
aut,95.94,2015
aut,96.41,2020
aut,96.72,2025
aut,96.88,2030
aut,96.91,2035
aut,96.88,2040
aut,96.82,2045
aut,96.79,2050
aze,88.97,1950
aze,90.0,1955
aze,91.77,1960
aze,93.35,1965
aze,94.33,1970
aze,95.18,1975
aze,94.89,1980
aze,94.92,1985
aze,95.8,1990
aze,95.58,1995
aze,94.99,2000
aze,94.97,2005
aze,95.78,2010
aze,96.52,2015
aze,97.0,2020
aze,97.22,2025
aze,97.27,2030
aze,97.28,2035
aze,97.32,2040
aze,97.43,2045
aze,97.61,2050
bhs,86.64,1950
bhs,87.34,1955
bhs,91.66,1960
bhs,95.64,1965
bhs,98.25,1970
bhs,96.32,1975
bhs,98.72,1980
bhs,98.53,1985
bhs,98.47,1990
bhs,97.62,1995
bhs,96.82,2000
bhs,96.19,2005
bhs,95.68,2010
bhs,95.17,2015
bhs,94.6,2020
bhs,93.97,2025
bhs,93.39,2030
bhs,92.86,2035
bhs,92.33,2040
bhs,91.86,2045
bhs,91.37,2050
bhr,116.1,1950
bhr,116.1,1955
bhr,116.5,1960
bhr,101.1,1965
bhr,115.7,1970
bhr,121.4,1975
bhr,139.3,1980
bhr,143.7,1985
bhr,138.5,1990
bhr,139.5,1995
bhr,135.6,2000
bhr,135.3,2005
bhr,134.4,2010
bhr,132.5,2015
bhr,130.8,2020
bhr,129.2,2025
bhr,127.5,2030
bhr,125.7,2035
bhr,123.7,2040
bhr,121.6,2045
bhr,119.6,2050
bgd,115.9,1950
bgd,114.0,1955
bgd,112.4,1960
bgd,110.8,1965
bgd,109.1,1970
bgd,107.5,1975
bgd,106.1,1980
bgd,104.9,1985
bgd,104.0,1990
bgd,103.3,1995
bgd,102.6,2000
bgd,102.4,2005
bgd,102.3,2010
bgd,102.1,2015
bgd,101.9,2020
bgd,101.7,2025
bgd,101.4,2030
bgd,101.0,2035
bgd,100.6,2040
bgd,100.1,2045
bgd,99.64,2050
brb,85.09,1950
brb,84.19,1955
brb,81.2,1960
brb,85.17,1965
brb,88.55,1970
brb,91.77,1975
brb,90.91,1980
brb,91.91,1985
brb,92.68,1990
brb,93.19,1995
brb,93.38,2000
brb,93.81,2005
brb,94.37,2010
brb,94.97,2015
brb,95.37,2020
brb,95.56,2025
brb,95.49,2030
brb,95.19,2035
brb,94.87,2040
brb,94.68,2045
brb,94.66,2050
blr,79.24,1950
blr,80.62,1955
blr,82.33,1960
blr,83.84,1965
blr,84.91,1970
blr,85.86,1975
blr,86.71,1980
blr,87.37,1985
blr,88.2,1990
blr,88.48,1995
blr,88.07,2000
blr,87.37,2005
blr,86.82,2010
blr,86.53,2015
blr,86.38,2020
blr,86.23,2025
blr,86.04,2030
blr,85.88,2035
blr,85.91,2040
blr,86.18,2045
blr,86.63,2050
bel,97.17,1950
bel,96.74,1955
bel,96.27,1960
bel,96.4,1965
bel,95.96,1970
bel,95.61,1975
bel,95.54,1980
bel,94.84,1985
bel,95.43,1990
bel,95.69,1995
bel,95.79,2000
bel,95.83,2005
bel,96.0,2010
bel,96.01,2015
bel,96.04,2020
bel,96.05,2025
bel,95.95,2030
bel,95.73,2035
bel,95.47,2040
bel,95.26,2045
bel,95.19,2050
blz,95.93,1950
blz,97.18,1955
