geo,literacy_rate_adult_total_percent_of_people_ages_15_and_above,time
afg,18.16,1979
afg,39.0,2011
alb,98.71,2001
alb,95.94,2008
alb,96.85,2011
dza,49.63,1987
dza,69.87,2002
dza,72.65,2006
ago,67.41,2001
ago,70.36,2011
aia,95.41,1984
atg,98.95,2001
atg,98.95,2011
arg,93.91,1980
arg,96.13,1991
arg,97.19,2001
arg,97.86,2011
arm,98.75,1989
arm,99.4,2001
arm,99.57,2011
abw,97.29,2000
abw,96.82,2010
aze,98.79,1999
aze,99.6,2007
aze,99.76,2009
bhr,69.75,1981
bhr,84.01,1991
bhr,86.55,2001
bhr,94.56,2010
bgd,29.23,1981
bgd,35.32,1991
bgd,47.49,2001
bgd,57.73,2011
blr,97.88,1989
blr,99.59,1999
blr,99.62,2009
blz,70.3,1991
ben,16.48,1979
ben,27.25,1992
ben,34.66,2002
ben,28.7,2006
btn,52.81,2005
bol,63.21,1976
bol,79.99,1992
bol,86.72,2001
bol,90.74,2007
bol,90.7,2008
bol,91.17,2009
bih,96.66,2000
bih,98.0,2011
bwa,68.58,1991
bwa,81.19,2003
bwa,85.09,2011
bra,74.59,1980
bra,86.37,2000
bra,88.62,2004
bra,89.62,2006
bra,90.01,2007
bra,90.04,2008
bra,90.3,2009
bra,90.38,2010
brn,77.83,1981
brn,87.8,1991
brn,92.67,2001
brn,95.45,2011
bgr,98.2,2001
bgr,98.35,2011
bfa,8.685,1975
bfa,13.57,1991
bfa,12.85,1996
bfa,21.82,2003
bfa,23.55,2005
bfa,28.73,2007
bdi,22.51,1979
bdi,37.38,1990
bdi,59.3,2000
bdi,86.95,2008
khm,67.34,1998
khm,73.61,2004
khm,77.59,2008
khm,73.9,2009
cmr,41.22,1976
cmr,68.41,2000
cmr,70.68,2007
cmr,71.29,2010
cpv,62.8,1990
cpv,79.99,2004
cpv,84.94,2011
cym,98.87,2007
caf,18.24,1975
caf,33.62,1988
caf,50.65,2000
caf,56.61,2011
tcd,10.89,1993
tcd,25.65,2000
tcd,28.38,2004
tcd,35.39,2011
chl,91.13,1982
chl,94.29,1992
chl,95.72,2002
chl,98.65,2008
chl,98.55,2009
chn,65.51,1982
chn,77.79,1990
chn,90.92,2000
chn,95.12,2010
col,81.38,1993
col,91.21,1996
col,92.8,2004
col,92.85,2005
col,92.3,2006
col,92.65,2007
col,93.38,2008
col,93.24,2009
col,93.37,2010
col,93.58,2011
com,47.92,1980
com,68.49,2000
com,75.54,2011
cod,67.17,2001
cod,61.21,2007
cri,92.63,1984
cri,94.87,2000
cri,96.26,2011
civ,34.14,1988
civ,36.35,1998
civ,48.74,2000
civ,56.87,2011
hrv,96.7,1991
hrv,98.15,2001
hrv,98.88,2011
cub,97.85,1981
cub,99.8,2002
cub,99.83,2011
cyp,94.36,1992
cyp,96.8,2001
cyp,98.68,2011
dom,73.06,1981
dom,87.0,2002
dom,88.24,2007
dom,89.54,2010
dom,90.11,2011
ecu,83.55,1982
ecu,88.3,1990
ecu,90.98,2001
ecu,84.19,2007
ecu,84.21,2009
ecu,91.85,2010
ecu,91.59,2011
egy,38.2,1976
egy,44.42,1986
egy,55.59,1996
egy,71.41,2005
egy,66.37,2006
egy,72.05,2010
egy,72.96,2011
slv,74.14,1992
slv,79.83,2004
slv,83.56,2006
slv,82.03,2007
slv,83.95,2008
slv,84.1,2009
slv,84.49,2010
gnq,88.31,2000
gnq,94.23,2011
eri,52.51,2002
eri,68.94,2011
est,99.73,1989
est,99.77,2000
est,99.8,2011
eth,27.01,1994
eth,35.9,2004
eth,29.82,2005
eth,39.0,2007
gab,72.23,1993
gab,83.8,2004
gab,88.99,2011
gmb,36.82,2000
gmb,51.11,2011
geo,99.65,2002
geo,99.73,2011
gha,57.9,2000
gha,71.5,2010
grc,90.51,1981
grc,92.61,1991
grc,95.99,2001
grc,97.3,2011
gtm,64.21,1994
gtm,69.1,2002
gtm,75.86,2011
gin,20.55,1996
gin,29.7,2003
gin,25.31,2010
gnb,19.96,1979
gnb,41.36,2000
gnb,55.28,2011
guy,84.99,2009
hti,34.73,1982
hti,58.74,2003
hti,48.69,2006
hnd,80.01,2001
hnd,83.59,2007
hnd,84.76,2010
hnd,85.12,2011
hun,98.86,1980
hun,98.98,1994
hun,99.03,2004
hun,99.05,2011
ind,40.76,1981
ind,48.22,1991
ind,61.01,2001
ind,62.75,2006
ind,62.75,2011
idn,67.31,1980
idn,81.52,1990
idn,90.38,2004
idn,91.98,2006
idn,92.19,2008
idn,92.58,2009
idn,92.81,2011
irn,36.52,1976
irn,52.32,1986
irn,65.53,1991
irn,73.06,1996
irn,77.0,2002
irn,82.44,2005
irn,82.33,2006
irn,85.02,2008
irq,74.05,2000
irq,78.48,2011
isr,91.75,1983
ita,96.46,1981
ita,98.42,2001
ita,98.98,2011
jam,79.92,1999
jam,87.04,2011
jor,66.8,1979
jor,89.89,2003
jor,91.13,2005
jor,92.2,2007
jor,92.55,2010
jor,95.9,2011
kaz,97.53,1989
kaz,99.51,1999
kaz,99.73,2009
ken,82.23,2000
ken,72.16,2007
prk,100.0,2008
kwt,59.56,1975
kwt,67.52,1980
kwt,74.49,1985
kwt,78.4,1995
kwt,93.27,2005
kwt,93.28,2006
kwt,93.66,2007
kwt,93.91,2008
kgz,98.7,1999
kgz,99.24,2009
lao,60.25,1995
lao,69.58,2000
lao,68.73,2001
lao,72.7,2005
lva,99.45,1989
lva,99.75,2000
lva,99.78,2011
lbn,89.61,2007
lso,86.25,2000
lso,75.8,2009
lbr,32.11,1984
lbr,43.46,1994
lbr,54.78,2004
lbr,42.94,2007
lby,60.16,1984
lby,77.22,1994
lby,86.12,2004
lby,89.54,2011
ltu,98.44,1989
ltu,99.65,2001
ltu,99.7,2011
mac,90.38,1981
mac,91.3,2001
mac,93.5,2006
mac,95.64,2011
mkd,94.06,1994
mkd,96.13,2002
mkd,97.38,2011
mdg,70.69,2000
mdg,64.48,2009
mwi,48.54,1987
mwi,64.13,1998
mwi,61.31,2010
mys,69.52,1980
mys,82.92,1991
mys,88.69,2000
mys,93.12,2010
mdv,82.3,1977
mdv,92.23,1985
mdv,96.02,1990
mdv,96.33,1995
mdv,96.33,2000
mdv,98.4,2006
mli,9.434,1976
mli,19.04,1998
mli,24.0,2003
mli,26.18,2006
mli,31.1,2010
mli,33.44,2011
mlt,87.98,1985
mlt,87.87,1995
mlt,92.36,2005
mrt,51.21,2000
mrt,58.61,2011
mus,79.87,1990
mus,84.3,2000
mus,88.85,2011
mex,82.99,1980
mex,87.56,1990
mex,90.54,2000
mex,90.27,2002
mex,90.95,2004
mex,91.63,2005
mex,91.73,2006
mex,92.8,2007
mex,92.93,2008
mex,93.44,2009
mex,93.07,2010
mex,93.52,2011
mda,96.38,1989
mda,96.65,2000
mda,98.97,2011
mng,97.77,2000
mng,97.36,2011
mne,98.46,2011
mar,30.26,1982
mar,41.59,1994
mar,52.31,2004
mar,55.15,2008
mar,56.08,2009
mar,67.08,2011
moz,27.1,1980
moz,38.71,1997
moz,48.16,2003
moz,50.58,2009
mmr,78.57,1983
mmr,89.94,2000
mmr,92.68,2011
nam,75.82,1991
nam,85.04,2001
nam,76.49,2007
npl,20.57,1981
npl,32.98,1991
npl,48.61,2001
npl,57.37,2011
ant,95.1,1992
ant,96.54,2011
nic,76.68,2001
nic,78.0,2005
ner,9.391,2001
ner,28.67,2005
nga,55.45,1991
nga,54.77,2003
nga,51.08,2008
omn,81.36,2003
omn,86.62,2008
omn,86.94,2010
pak,25.73,1981
pak,42.7,1998
pak,49.87,2005
pak,54.15,2006
pak,55.53,2008
pak,54.89,2009
plw,91.92,1980
pan,88.07,1980
pan,88.78,1990
pan,91.9,2000
pan,94.09,2010
png,57.34,2000
png,62.42,2011
pry,78.46,1982
pry,90.27,1992
pry,94.56,2007
pry,93.29,2008
pry,93.75,2009
pry,93.87,2010
per,81.92,1981
per,87.15,1993
per,87.67,2004
per,87.91,2005
per,88.7,2006
per,89.59,2007
phl,83.32,1980
phl,93.57,1990
phl,92.6,2000
phl,92.59,2003
phl,95.42,2008
pol,98.74,1978
pol,99.4,1994
pol,99.62,2004
pol,99.73,2011
prt,79.44,1981
prt,87.95,1991
prt,95.43,2011
pri,86.75,1980
pri,89.62,1990
pri,90.54,2004
pri,90.35,2011
qat,75.64,1986
qat,83.26,1997
qat,88.96,2004
qat,93.08,2007
qat,93.99,2008
qat,94.72,2009
qat,96.28,2010
rou,96.71,1992
