geo,time,population_policies_aid_given_percent_of_aid
aus,1984,1.742
aus,1985,3.187
aus,1986,0.7439
aus,1987,0.8163
aus,1989,0.2257
aus,1991,0.5704
aus,1992,5.068
aus,1993,3.053
aus,1994,3.184
aus,1995,2.523
aus,1996,4.574
aus,1997,3.799
aus,1998,4.919
aus,1999,3.798
aus,2000,3.883
aus,2001,3.185
aus,2002,3.172
aus,2003,3.79
aus,2004,4.065
aus,2005,4.094
aus,2006,3.682
aus,2007,2.33
aut,1991,0.1151
aut,1994,0.008913
aut,1995,0.02173
aut,1997,0.009812
aut,1998,0.01883
aut,1999,0.02354
aut,2000,0.05351
aut,2001,0.06536
aut,2002,0.2466
aut,2003,0.5445
aut,2004,0.6792
aut,2005,0.719
aut,2006,1.478
aut,2007,0.9729
bel,1987,0.1952
bel,1988,4.687
bel,1989,3.586
bel,1990,4.361
bel,1991,6.45
bel,1992,6.551
bel,1993,6.605
bel,1994,6.664
bel,1995,0.5196
bel,1996,0.3684
bel,1997,0.2764
bel,1998,0.3824
bel,1999,1.097
bel,2000,2.961
bel,2001,2.04
bel,2002,4.069
bel,2003,3.243
bel,2004,3.346
bel,2005,3.044
bel,2006,3.237
bel,2007,3.428
can,1984,0.7783
can,1987,0.3074
can,1988,0.1451
can,1989,0.1773
can,1990,0.09486
can,1991,0.2463
can,1992,0.1242
can,1993,0.07934
can,1994,0.01785
can,1995,4.599
can,1996,2.72
can,1997,1.848
can,1998,0.4324
can,1999,0.9747
can,2000,7.317
can,2001,6.591
can,2002,3.53
can,2003,2.172
can,2004,10.66
can,2005,2.772
can,2006,3.115
can,2007,3.924
dnk,1984,3.227
dnk,1985,7.753
dnk,1986,5.638
dnk,1992,0.05118
dnk,1997,0.3454
dnk,1999,0.06627
dnk,2000,0.3955
dnk,2001,1.14
dnk,2002,2.876
dnk,2003,1.49
dnk,2004,0.7234
dnk,2005,1.184
dnk,2006,3.976
dnk,2007,6.542
fin,1988,0.4438
fin,1989,0.09048
fin,1990,0.2929
fin,1992,1.456
fin,1993,0.8202
fin,1995,2.422
fin,1996,0.2353
fin,1997,1.01
