geo,sex_ratio_0_14_years,time
afg,106.6,1950
afg,107.0,1955
afg,107.2,1960
afg,107.2,1965
afg,107.1,1970
afg,107.0,1975
afg,107.0,1980
afg,107.0,1985
afg,107.0,1990
afg,106.8,1995
afg,106.6,2000
afg,106.7,2005
afg,106.7,2010
afg,106.7,2015
afg,106.8,2020
afg,106.8,2025
afg,106.9,2030
afg,106.9,2035
afg,106.9,2040
afg,106.8,2045
afg,106.8,2050
alb,103.0,1950
alb,102.6,1955
alb,102.8,1960
alb,103.6,1965
alb,104.5,1970
alb,105.0,1975
alb,107.5,1980
alb,107.7,1985
alb,108.0,1990
alb,105.1,1995
alb,106.1,2000
alb,106.8,2005
alb,106.8,2010
alb,107.0,2015
alb,107.1,2020
alb,107.1,2025
alb,107.2,2030
alb,107.2,2035
alb,107.2,2040
alb,107.1,2045
alb,107.1,2050
dza,99.98,1950
dza,101.5,1955
dza,104.0,1960
dza,104.3,1965
dza,103.9,1970
dza,103.9,1975
dza,103.8,1980
dza,104.1,1985
dza,104.4,1990
dza,104.5,1995
dza,104.6,2000
dza,104.6,2005
dza,104.6,2010
dza,104.5,2015
dza,104.5,2020
dza,104.5,2025
dza,104.6,2030
dza,104.8,2035
dza,104.9,2040
dza,105.0,2045
dza,105.0,2050
ago,99.08,1950
ago,98.51,1955
ago,98.29,1960
ago,98.25,1965
ago,98.61,1970
ago,98.93,1975
ago,99.25,1980
ago,99.43,1985
ago,99.39,1990
ago,99.34,1995
ago,99.28,2000
ago,99.31,2005
ago,99.25,2010
ago,99.24,2015
ago,99.33,2020
ago,99.48,2025
ago,99.62,2030
ago,99.78,2035
ago,99.94,2040
ago,100.1,2045
ago,100.2,2050
arg,103.3,1950
arg,103.2,1955
arg,103.2,1960
arg,102.9,1965
arg,102.9,1970
arg,102.9,1975
arg,102.9,1980
arg,103.1,1985
arg,103.2,1990
arg,103.2,1995
arg,103.3,2000
arg,103.4,2005
arg,103.5,2010
arg,103.6,2015
arg,103.6,2020
arg,103.7,2025
arg,103.7,2030
arg,103.7,2035
arg,103.7,2040
arg,103.7,2045
arg,103.7,2050
arm,93.92,1950
arm,98.31,1955
arm,103.3,1960
arm,105.9,1965
arm,105.9,1970
arm,104.9,1975
arm,104.3,1980
arm,104.7,1985
arm,102.9,1990
arm,102.4,1995
arm,106.8,2000
arm,112.1,2005
arm,116.1,2010
arm,116.2,2015
arm,115.3,2020
arm,114.2,2025
arm,113.1,2030
arm,111.9,2035
arm,110.7,2040
arm,109.5,2045
arm,108.3,2050
abw,97.53,1950
abw,98.61,1955
abw,100.8,1960
abw,103.4,1965
abw,104.1,1970
abw,104.0,1975
abw,104.5,1980
abw,104.8,1985
abw,107.5,1990
abw,102.4,1995
abw,101.3,2000
abw,101.8,2005
abw,102.3,2010
abw,102.5,2015
abw,103.8,2020
abw,104.5,2025
abw,104.7,2030
abw,104.8,2035
abw,104.8,2040
abw,104.8,2045
abw,104.8,2050
aus,104.2,1950
aus,104.5,1955
aus,105.0,1960
aus,105.0,1965
aus,105.2,1970
aus,105.0,1975
aus,104.6,1980
aus,104.9,1985
aus,105.3,1990
aus,105.3,1995
aus,105.2,2000
aus,105.5,2005
aus,105.5,2010
aus,105.5,2015
aus,105.5,2020
aus,105.5,2025
aus,105.5,2030
aus,105.5,2035
aus,105.5,2040
aus,105.5,2045
aus,105.5,2050
aut,103.7,1950
aut,104.2,1955
aut,104.4,1960
aut,104.2,1965
aut,104.6,1970
aut,104.3,1975
aut,104.4,1980
aut,104.7,1985
aut,105.2,1990
aut,105.1,1995
aut,105.1,2000
aut,105.2,2005
aut,105.4,2010
aut,105.5,2015
aut,105.5,2020
aut,105.5,2025
aut,105.5,2030
aut,105.6,2035
aut,105.6,2040
aut,105.6,2045
aut,105.6,2050
aze,95.0,1950
aze,100.4,1955
aze,104.5,1960
aze,105.5,1965
aze,104.5,1970
aze,104.3,1975
aze,103.5,1980
aze,104.8,1985
aze,105.7,1990
aze,105.1,1995
aze,106.0,2000
aze,109.2,2005
aze,113.6,2010
aze,115.5,2015
aze,114.6,2020
aze,113.5,2025
aze,112.3,2030
aze,111.0,2035
aze,109.7,2040
aze,108.5,2045
aze,107.3,2050
bhs,100.0,1950
bhs,99.87,1955
bhs,100.3,1960
bhs,100.9,1965
bhs,102.2,1970
bhs,101.0,1975
bhs,104.2,1980
bhs,104.1,1985
bhs,104.0,1990
bhs,103.3,1995
bhs,103.4,2000
bhs,103.4,2005
bhs,103.6,2010
