geo,sex_ratio_15_49_years,time
afg,109.0,1950
afg,109.3,1955
afg,109.6,1960
afg,109.9,1965
afg,110.2,1970
afg,110.3,1975
afg,110.3,1980
afg,110.1,1985
afg,109.9,1990
afg,109.6,1995
afg,109.4,2000
afg,109.2,2005
afg,109.0,2010
afg,108.8,2015
afg,108.7,2020
afg,108.5,2025
afg,108.4,2030
afg,108.4,2035
afg,108.3,2040
afg,108.2,2045
afg,108.1,2050
alb,102.1,1950
alb,102.1,1955
alb,102.5,1960
alb,102.5,1965
alb,102.1,1970
alb,102.4,1975
alb,111.2,1980
alb,109.6,1985
alb,106.9,1990
alb,101.6,1995
alb,96.29,2000
alb,95.86,2005
alb,96.33,2010
alb,97.21,2015
alb,98.75,2020
alb,100.7,2025
alb,103.0,2030
alb,104.9,2035
alb,105.4,2040
alb,105.4,2045
alb,105.5,2050
dza,108.7,1950
dza,104.4,1955
dza,98.85,1960
dza,97.25,1965
dza,89.22,1970
dza,93.19,1975
dza,100.0,1980
dza,100.8,1985
dza,101.8,1990
dza,102.5,1995
dza,103.2,2000
dza,103.2,2005
dza,103.1,2010
dza,103.0,2015
dza,103.0,2020
dza,103.2,2025
dza,103.3,2030
dza,103.4,2035
dza,103.6,2040
dza,103.7,2045
dza,103.8,2050
ago,96.88,1950
ago,96.9,1955
ago,96.91,1960
ago,96.95,1965
ago,96.73,1970
ago,96.66,1975
ago,96.7,1980
ago,96.78,1985
ago,96.87,1990
ago,97.02,1995
ago,97.1,2000
ago,97.27,2005
ago,97.44,2010
ago,97.56,2015
ago,97.59,2020
ago,97.5,2025
ago,97.39,2030
ago,97.32,2035
ago,97.31,2040
ago,97.36,2045
ago,97.42,2050
arg,106.2,1950
arg,103.0,1955
arg,101.6,1960
arg,101.1,1965
arg,100.8,1970
arg,100.5,1975
arg,100.1,1980
arg,100.5,1985
arg,100.9,1990
arg,101.0,1995
arg,101.0,2000
arg,101.1,2005
arg,101.3,2010
arg,101.4,2015
arg,101.5,2020
arg,101.7,2025
arg,101.9,2030
arg,102.1,2035
arg,102.2,2040
arg,102.4,2045
arg,102.5,2050
arm,88.42,1950
arm,90.55,1955
arm,91.13,1960
arm,93.21,1965
arm,96.47,1970
arm,97.95,1975
arm,97.35,1980
arm,97.1,1985
arm,95.6,1990
arm,89.43,1995
arm,87.05,2000
arm,86.51,2005
arm,87.47,2010
arm,90.31,2015
arm,93.82,2020
arm,97.33,2025
arm,101.5,2030
arm,104.8,2035
arm,107.2,2040
arm,108.2,2045
arm,107.6,2050
abw,93.49,1950
abw,94.13,1955
abw,92.66,1960
abw,91.43,1965
abw,92.18,1970
abw,93.08,1975
abw,93.73,1980
abw,95.85,1985
abw,96.73,1990
abw,99.08,1995
abw,94.14,2000
abw,92.19,2005
abw,93.37,2010
abw,94.97,2015
abw,96.5,2020
abw,98.58,2025
abw,100.7,2030
abw,101.9,2035
abw,102.3,2040
abw,103.1,2045
abw,103.4,2050
aus,105.1,1950
aus,106.8,1955
aus,106.3,1960
aus,105.5,1965
aus,106.3,1970
aus,105.1,1975
aus,103.6,1980
aus,103.4,1985
aus,102.5,1990
aus,101.6,1995
aus,100.2,2000
aus,100.6,2005
aus,101.2,2010
aus,101.8,2015
aus,102.4,2020
aus,103.1,2025
aus,103.5,2030
aus,103.8,2035
aus,103.9,2040
aus,104.0,2045
aus,104.1,2050
aut,85.78,1950
aut,86.92,1955
aut,89.97,1960
aut,94.21,1965
aut,97.99,1970
aut,102.2,1975
aut,101.8,1980
aut,101.6,1985
aut,102.3,1990
aut,102.8,1995
aut,102.0,2000
aut,102.0,2005
aut,102.1,2010
aut,102.1,2015
aut,102.4,2020
aut,103.1,2025
aut,103.5,2030
aut,103.8,2035
aut,104.1,2040
aut,104.2,2045
aut,104.2,2050
aze,86.21,1950
aze,88.92,1955
aze,90.32,1960
aze,93.41,1965
aze,97.14,1970
aze,99.72,1975
aze,98.58,1980
aze,96.48,1985
aze,95.65,1990
aze,94.79,1995
aze,93.41,2000
aze,93.31,2005
aze,93.97,2010
aze,95.51,2015
aze,99.13,2020
aze,102.1,2025
aze,104.9,2030
aze,106.6,2035
aze,107.8,2040
aze,109.0,2045
aze,109.2,2050
bhs,80.39,1950
bhs,81.84,1955
bhs,88.76,1960
bhs,95.34,1965
bhs,98.55,1970
bhs,96.17,1975
bhs,98.26,1980
bhs,98.63,1985
bhs,99.32,1990
bhs,98.23,1995
bhs,97.19,2000
bhs,96.65,2005
bhs,96.64,2010
bhs,96.12,2015
bhs,95.61,2020
bhs,95.16,2025
bhs,95.01,2030
bhs,94.99,2035
bhs,95.06,2040
bhs,95.06,2045
bhs,95.07,2050
bhr,131.5,1950
bhr,131.7,1955
bhr,132.5,1960
bhr,100.4,1965
bhr,128.9,1970
bhr,137.6,1975
bhr,170.5,1980
bhr,168.3,1985
bhr,162.1,1990
bhr,164.3,1995
bhr,152.1,2000
bhr,150.7,2005
bhr,145.8,2010
bhr,138.8,2015
bhr,132.2,2020
bhr,126.6,2025
bhr,124.4,2030
bhr,123.3,2035
bhr,122.2,2040
bhr,122.1,2045
bhr,122.4,2050
bgd,122.5,1950
bgd,120.6,1955
bgd,115.8,1960
bgd,113.0,1965
bgd,111.0,1970
bgd,108.9,1975
bgd,106.7,1980
bgd,105.0,1985
bgd,103.5,1990
bgd,103.0,1995
bgd,102.4,2000
bgd,102.4,2005
bgd,102.5,2010
bgd,102.6,2015
bgd,102.9,2020
bgd,103.1,2025
bgd,103.3,2030
bgd,103.4,2035
bgd,103.5,2040
bgd,103.5,2045
bgd,103.5,2050
brb,89.47,1950
brb,87.39,1955
brb,79.42,1960
brb,83.81,1965
brb,88.89,1970
brb,90.18,1975
brb,94.33,1980
brb,96.63,1985
brb,98.26,1990
brb,99.42,1995
brb,99.77,2000
brb,100.5,2005
brb,101.5,2010
brb,102.0,2015
brb,102.5,2020
brb,102.8,2025
brb,103.0,2030
brb,103.1,2035
brb,103.2,2040
brb,103.4,2045
brb,103.5,2050
