geo,natural_gas_production_per_person,time
dza,0.1637,1970
dza,0.1676,1971
dza,0.2063,1972
dza,0.2659,1973
dza,0.2985,1974
dza,0.3564,1975
dza,0.4356,1976
dza,0.4043,1977
dza,0.6081,1978
dza,0.967,1979
dza,0.6783,1980
dza,0.7827,1981
dza,0.9854,1982
dza,1.376,1983
dza,1.327,1984
dza,1.401,1985
dza,1.45,1986
dza,1.593,1987
dza,1.622,1988
dza,1.705,1989
dza,1.767,1990
dza,1.864,1991
dza,1.894,1992
dza,1.876,1993
dza,1.688,1994
dza,1.881,1995
dza,1.962,1996
dza,2.223,1997
dza,2.335,1998
dza,2.583,1999
dza,2.498,2000
dza,2.282,2001
dza,2.312,2002
dza,2.351,2003
dza,2.297,2004
dza,2.441,2005
dza,2.309,2006
dza,2.29,2007
dza,2.308,2008
arg,0.2261,1970
arg,0.2403,1971
arg,0.2246,1972
arg,0.2404,1973
arg,0.2543,1974
arg,0.2654,1975
arg,0.2488,1976
arg,0.2525,1977
arg,0.2562,1978
arg,0.2332,1979
arg,0.2663,1980
arg,0.2724,1981
arg,0.3003,1982
arg,0.3968,1983
arg,0.4012,1984
arg,0.4075,1985
arg,0.4482,1986
arg,0.4312,1987
arg,0.5037,1988
arg,0.5249,1989
arg,0.4862,1990
arg,0.5356,1991
arg,0.5324,1992
arg,0.5628,1993
arg,0.5749,1994
arg,0.6374,1995
arg,0.7282,1996
arg,0.6807,1997
arg,0.7268,1998
arg,0.8392,1999
arg,0.8979,2000
arg,0.8816,2001
arg,0.8478,2002
arg,0.9534,2003
arg,1.032,2004
arg,1.039,2005
arg,1.039,2006
arg,1.0,2007
arg,0.9748,2008
aus,0.1237,1970
aus,0.1806,1971
aus,0.2546,1972
aus,0.3184,1973
aus,0.3574,1974
aus,0.379,1975
aus,0.4427,1976
aus,0.5001,1977
aus,0.5318,1978
aus,0.6048,1979
aus,0.6852,1980
aus,0.7274,1981
aus,0.6972,1982
aus,0.7471,1983
aus,0.7279,1984
aus,0.7678,1985
aus,0.8267,1986
aus,0.8316,1987
aus,0.8381,1988
aus,0.955,1989
aus,1.096,1990
aus,1.132,1991
aus,1.208,1992
aus,1.248,1993
aus,1.416,1994
aus,1.478,1995
aus,1.462,1996
aus,1.445,1997
aus,1.456,1998
aus,1.459,1999
aus,1.464,2000
aus,1.51,2001
aus,1.501,2002
aus,1.513,2003
aus,1.594,2004
aus,1.663,2005
aus,1.727,2006
aus,1.76,2007
aus,1.671,2008
aze,1.715,1985
aze,1.635,1986
aze,1.481,1987
aze,1.389,1988
aze,1.273,1989
aze,1.12,1990
aze,0.9584,1991
aze,0.8679,1992
aze,0.7387,1993
aze,0.6883,1994
aze,0.7045,1995
aze,0.6691,1996
aze,0.635,1997
aze,0.5912,1998
aze,0.6322,1999
aze,0.5946,2000
aze,0.5813,2001
aze,0.5372,2002
aze,0.5333,2003
aze,0.5171,2004
aze,0.5901,2005
aze,0.6919,2006
aze,1.1,2007
aze,1.642,2008
bhr,2.546,1970
bhr,3.616,1971
bhr,4.406,1972
bhr,6.034,1973
bhr,7.159,1974
bhr,7.23,1975
bhr,7.166,1976
bhr,7.152,1977
bhr,7.246,1978
bhr,7.71,1979
bhr,6.051,1980
bhr,5.366,1981
bhr,8.146,1982
bhr,8.211,1983
bhr,8.144,1984
bhr,9.574,1985
bhr,10.57,1986
bhr,9.932,1987
bhr,10.22,1988
bhr,10.29,1989
bhr,10.44,1990
bhr,9.667,1991
bhr,10.99,1992
bhr,11.46,1993
bhr,11.43,1994
bhr,11.33,1995
bhr,11.4,1996
bhr,11.98,1997
bhr,12.35,1998
bhr,12.53,1999
bhr,12.44,2000
bhr,12.73,2001
bhr,12.97,2002
bhr,12.99,2003
bhr,12.95,2004
bhr,14.0,2005
bhr,14.6,2006
bhr,14.97,2007
bhr,16.85,2008
bgd,0.00546,1971
bgd,0.005342,1972
bgd,0.007217,1973
bgd,0.0077,1974
bgd,0.00758,1975
bgd,0.009765,1976
bgd,0.01056,1977
bgd,0.0113,1978
bgd,0.01261,1979
bgd,0.01378,1980
bgd,0.01613,1981
bgd,0.01867,1982
bgd,0.02059,1983
bgd,0.0235,1984
bgd,0.0256,1985
bgd,0.02858,1986
bgd,0.03321,1987
bgd,0.03631,1988
bgd,0.03937,1989
bgd,0.03898,1990
bgd,0.04253,1991
bgd,0.0454,1992
bgd,0.04793,1993
bgd,0.05081,1994
bgd,0.05574,1995
bgd,0.05621,1996
bgd,0.05531,1997
bgd,0.05572,1998
bgd,0.05828,1999
bgd,0.06889,2000
bgd,0.07262,2001
bgd,0.07596,2002
bgd,0.08012,2003
bgd,0.08419,2004
bgd,0.09048,2005
bgd,0.09356,2006
bgd,0.09735,2007
bgd,0.1014,2008
bol,0.2103,1972
bol,0.3162,1973
bol,0.323,1974
bol,0.3107,1975
bol,0.3176,1976
bol,0.327,1977
bol,0.3145,1978
bol,0.336,1979
bol,0.4034,1980
bol,0.4222,1981
bol,0.4303,1982
bol,0.4063,1983
bol,0.3843,1984
bol,0.3744,1985
bol,0.3746,1986
bol,0.3845,1987
bol,0.3982,1988
bol,0.4109,1989
bol,0.4103,1990
bol,0.3983,1991
bol,0.383,1992
bol,0.3734,1993
bol,0.3936,1994
bol,0.3848,1995
bol,0.3804,1996
bol,0.314,1997
bol,0.3233,1998
bol,0.2538,1999
bol,0.3566,2000
bol,0.5109,2001
bol,0.5231,2002
bol,0.6671,2003
bol,1.007,2004
bol,1.209,2005
bol,1.291,2006
bol,1.363,2007
bol,1.355,2008
bra,0.0007412,1970
bra,0.001146,1971
bra,0.001521,1972
bra,0.001696,1973
bra,0.003182,1974
bra,0.003381,1975
bra,0.003799,1976
bra,0.004614,1977
bra,0.005925,1978
bra,0.006336,1979
bra,0.007231,1980
bra,0.006336,1981
bra,0.00884,1982
bra,0.01169,1983
bra,0.01333,1984
bra,0.01639,1985
bra,0.01871,1986
bra,0.02049,1987
bra,0.02021,1988
bra,0.02034,1989
bra,0.01821,1990
bra,0.01863,1991
bra,0.02077,1992
bra,0.02395,1993
bra,0.02574,1994
bra,0.02797,1995
bra,0.0301,1996
bra,0.03228,1997
bra,0.03334,1998
bra,0.03862,1999
bra,0.0384,2000
bra,0.03873,2001
bra,0.04624,2002
bra,0.04964,2003
bra,0.05399,2004
