primary_school_completion_percent_of_girls,geo,time
4.193,afg,1974
5.145,afg,1977
5.92,afg,1978
8.728,afg,1980
12.39,afg,1981
7.54,afg,1982
10.38,afg,1984
10.52,afg,1985
13.55,afg,1993
18.74,afg,2005
94.19,alb,1996
103.2,alb,1999
102.3,alb,2000
103.3,alb,2001
100.3,alb,2003
97.71,alb,2004
90.41,alb,2008
89.76,alb,2009
86.01,alb,2010
89.54,alb,2011
30.9,dza,1972
33.03,dza,1973
34.33,dza,1974
39.79,dza,1975
45.24,dza,1976
48.23,dza,1977
50.49,dza,1978
51.07,dza,1979
52.11,dza,1980
55.02,dza,1981
59.08,dza,1982
61.84,dza,1983
65.59,dza,1984
77.17,dza,1985
65.21,dza,1986
68.33,dza,1987
69.91,dza,1988
73.15,dza,1989
72.54,dza,1990
73.08,dza,1991
75.5,dza,1992
74.73,dza,1993
73.95,dza,1994
75.88,dza,1995
79.89,dza,1996
82.44,dza,1997
83.46,dza,1999
82.23,dza,2000
88.53,dza,2001
90.09,dza,2002
91.28,dza,2003
93.31,dza,2004
94.21,dza,2005
97.36,dza,2007
109.7,dza,2008
95.13,dza,2009
95.87,dza,2010
94.21,dza,2011
97.77,and,2002
103.7,and,2003
103.4,and,2004
66.51,and,2011
40.84,ago,2008
40.52,ago,2009
40.04,ago,2010
85.44,atg,1975
81.96,atg,1976
92.96,atg,1992
99.51,atg,2008
92.78,atg,2009
98.28,atg,2010
92.43,atg,2011
74.02,arg,1970
74.7,arg,1971
82.19,arg,1975
81.86,arg,1976
95.41,arg,1996
94.5,arg,1997
102.4,arg,1998
100.7,arg,1999
100.8,arg,2000
100.5,arg,2001
105.5,arg,2002
103.6,arg,2003
102.0,arg,2004
99.93,arg,2005
102.1,arg,2006
104.6,arg,2007
108.0,arg,2008
107.5,arg,2009
93.67,arm,2002
89.4,arm,2003
98.84,arm,2004
92.93,arm,2005
94.59,arm,2006
103.0,arm,2007
85.05,arm,2011
102.8,abw,1999
97.72,abw,2000
100.6,abw,2001
100.1,abw,2002
88.38,abw,2003
88.33,abw,2004
88.07,abw,2005
90.94,abw,2006
95.14,abw,2007
93.86,abw,2008
89.37,abw,2009
93.43,abw,2010
96.7,aut,1971
98.26,aut,1972
98.19,aut,1973
100.4,aut,1998
100.8,aut,1999
99.8,aut,2002
100.7,aut,2003
98.53,aut,2004
99.07,aut,2005
101.1,aut,2006
103.7,aut,2007
100.7,aut,2008
99.58,aut,2009
98.22,aut,2010
94.73,aze,1993
89.23,aze,1994
85.46,aze,1996
97.3,aze,1997
94.7,aze,1998
91.77,aze,1999
85.5,aze,2000
93.98,aze,2001
101.0,aze,2002
90.25,aze,2003
94.86,aze,2004
89.61,aze,2005
90.66,aze,2006
98.49,aze,2007
89.72,aze,2008
91.43,aze,2009
88.98,aze,2010
92.18,aze,2011
84.19,bhs,1999
102.6,bhs,2005
96.84,bhs,2006
100.9,bhs,2007
102.2,bhs,2008
103.9,bhs,2009
98.55,bhs,2010
82.6,bhr,1982
84.92,bhr,1983
89.64,bhr,1984
90.21,bhr,1985
90.21,bhr,1986
94.7,bhr,1987
100.9,bhr,1988
108.6,bhr,1989
106.0,bhr,1991
101.8,bhr,1992
99.72,bhr,1993
97.27,bhr,1994
97.57,bhr,1995
94.78,bhr,1996
95.48,bhr,1998
96.28,bhr,1999
94.35,bhr,2000
95.46,bhr,2001
102.7,bhr,2002
104.7,bhr,2003
110.0,bhr,2004
107.0,bhr,2005
28.6,bgd,1976
22.12,bgd,1981
95.79,brb,1999
100.5,brb,2000
111.1,brb,2001
108.5,brb,2002
111.3,brb,2003
98.65,brb,2004
95.6,brb,2005
93.54,brb,2006
95.44,brb,2007
99.5,brb,2008
103.1,brb,2009
107.3,brb,2010
114.3,brb,2011
95.15,blr,1993
95.74,blr,1994
92.77,blr,1995
93.04,blr,1996
92.24,blr,1997
95.91,blr,1999
99.48,blr,2000
103.2,blr,2001
128.1,blr,2002
100.2,blr,2003
97.94,blr,2004
93.41,blr,2005
92.82,blr,2006
92.11,blr,2007
95.08,blr,2008
103.2,blr,2011
70.2,bel,1974
71.3,bel,1975
71.87,bel,1976
74.21,bel,1977
74.23,bel,1978
68.73,bel,1979
68.99,bel,1980
74.88,bel,1981
78.77,bel,1982
72.72,bel,1983
75.71,bel,1984
73.47,bel,1985
71.96,bel,1986
71.25,bel,1987
73.09,bel,1988
80.53,bel,1991
90.77,bel,2006
91.55,bel,2007
91.55,bel,2008
91.98,bel,2009
92.67,bel,2010
90.49,blz,1992
85.2,blz,1995
90.49,blz,1996
91.25,blz,1999
90.25,blz,2000
94.12,blz,2001
90.26,blz,2002
90.03,blz,2003
88.15,blz,2004
89.02,blz,2005
89.22,blz,2006
95.98,blz,2007
91.89,blz,2008
98.99,blz,2009
98.15,blz,2010
107.2,blz,2011
10.11,ben,1971
12.07,ben,1972
12.41,ben,1973
11.47,ben,1974
13.23,ben,1975
14.48,ben,1976
13.72,ben,1977
15.68,ben,1978
17.23,ben,1979
19.8,ben,1980
18.41,ben,1981
21.56,ben,1982
20.31,ben,1983
18.31,ben,1984
20.25,ben,1985
18.53,ben,1986
17.89,ben,1987
16.93,ben,1988
16.9,ben,1989
11.62,ben,1990
13.93,ben,1991
13.89,ben,1992
15.28,ben,1993
16.77,ben,1994
20.1,ben,1995
21.01,ben,1996
22.81,ben,1997
24.82,ben,1998
26.88,ben,2000
29.96,ben,2001
31.59,ben,2002
36.16,ben,2003
41.52,ben,2004
55.04,ben,2008
53.26,ben,2009
66.31,ben,2011
74.96,bmu,1975
94.74,bmu,2001
104.6,bmu,2002
102.7,bmu,2003
100.0,bmu,2010
83.63,bmu,2011
4.364,btn,1978
4.96,btn,1979
20.03,btn,1993
