gwid,geo,geographic_regions,income_groups,landlocked,g77_and_oecd_countries,geographic_regions_in_4_colors,main_religion_2008,is--country,name
i0,_abk,europe_central_asia,,,others,europe,,TRUE,_abk
i1,afg,south_asia,low_income,landlocked,g77,asia,muslim,TRUE,afg
i2,_akr,europe_central_asia,,coastline,others,europe,,TRUE,_akr
i3,alb,europe_central_asia,upper_middle_income,coastline,others,europe,muslim,TRUE,alb
i4,dza,middle_east_north_africa,upper_middle_income,coastline,g77,africa,muslim,TRUE,dza
i5,asm,east_asia_pacific,upper_middle_income,coastline,others,asia,christian,TRUE,asm
i6,and,europe_central_asia,high_income,landlocked,others,europe,christian,TRUE,and
i7,ago,sub_saharan_africa,upper_middle_income,coastline,g77,africa,christian,TRUE,ago
i8,aia,america,,coastline,others,america,christian,TRUE,aia
i9,atg,america,high_income,coastline,g77,america,christian,TRUE,atg
i10,arg,america,upper_middle_income,coastline,g77,america,christian,TRUE,arg
i11,arm,europe_central_asia,lower_middle_income,landlocked,others,europe,christian,TRUE,arm
i12,abw,america,high_income,coastline,others,america,christian,TRUE,abw
i13,aus,east_asia_pacific,high_income,coastline,oecd,asia,christian,TRUE,aus
i14,aut,europe_central_asia,high_income,landlocked,oecd,europe,christian,TRUE,aut
i15,aze,europe_central_asia,upper_middle_income,landlocked,others,europe,muslim,TRUE,aze
i16,bhs,america,high_income,coastline,g77,america,christian,TRUE,bhs
i17,bhr,middle_east_north_africa,high_income,coastline,g77,asia,muslim,TRUE,bhr
i18,bgd,south_asia,low_income,coastline,g77,asia,muslim,TRUE,bgd
i19,brb,america,high_income,coastline,g77,america,christian,TRUE,brb
i20,blr,europe_central_asia,upper_middle_income,landlocked,others,europe,christian,TRUE,blr
i21,bel,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,bel
i22,blz,america,upper_middle_income,coastline,g77,america,christian,TRUE,blz
i23,ben,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,ben
i24,bmu,america,high_income,coastline,others,america,christian,TRUE,bmu
i25,btn,south_asia,lower_middle_income,landlocked,g77,asia,eastern_religions,TRUE,btn
i26,bol,america,lower_middle_income,landlocked,g77,america,christian,TRUE,bol
i27,bih,europe_central_asia,upper_middle_income,coastline,g77,europe,,TRUE,bih
i28,bwa,sub_saharan_africa,upper_middle_income,landlocked,g77,africa,christian,TRUE,bwa
i29,bra,america,upper_middle_income,coastline,g77,america,christian,TRUE,bra
i30,vgb,america,,coastline,others,america,christian,TRUE,vgb
i31,brn,east_asia_pacific,high_income,coastline,g77,asia,muslim,TRUE,brn
i32,bgr,europe_central_asia,upper_middle_income,coastline,others,europe,christian,TRUE,bgr
i33,bfa,sub_saharan_africa,low_income,landlocked,g77,africa,muslim,TRUE,bfa
i34,bdi,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,bdi
i35,khm,east_asia_pacific,low_income,coastline,g77,asia,eastern_religions,TRUE,khm
i36,cmr,sub_saharan_africa,lower_middle_income,coastline,g77,africa,christian,TRUE,cmr
i37,can,america,high_income,coastline,oecd,america,christian,TRUE,can
i38,cpv,sub_saharan_africa,lower_middle_income,coastline,g77,africa,christian,TRUE,cpv
i39,cym,america,high_income,coastline,others,america,christian,TRUE,cym
i40,caf,sub_saharan_africa,low_income,landlocked,g77,africa,,TRUE,caf
i41,tcd,sub_saharan_africa,low_income,landlocked,g77,africa,muslim,TRUE,tcd
i42,_cis,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,_cis
i43,chl,america,high_income,coastline,g77,america,christian,TRUE,chl
i44,chn,east_asia_pacific,upper_middle_income,coastline,g77,asia,eastern_religions,TRUE,chn
i45,cxr,east_asia_pacific,,coastline,others,asia,,TRUE,cxr
i46,cck,east_asia_pacific,,coastline,others,asia,,TRUE,cck
i47,col,america,upper_middle_income,coastline,g77,america,christian,TRUE,col
i48,com,sub_saharan_africa,low_income,coastline,g77,africa,muslim,TRUE,com
i49,cod,sub_saharan_africa,low_income,landlocked,g77,africa,christian,TRUE,cod
i50,cog,sub_saharan_africa,lower_middle_income,coastline,g77,africa,christian,TRUE,cog
i51,cok,east_asia_pacific,,coastline,others,asia,christian,TRUE,cok
i52,cri,america,upper_middle_income,coastline,g77,america,christian,TRUE,cri
i53,civ,sub_saharan_africa,lower_middle_income,coastline,g77,africa,,TRUE,civ
i54,hrv,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,hrv
i55,cub,america,upper_middle_income,coastline,g77,america,christian,TRUE,cub
i56,cyp,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,cyp
i57,cze,europe_central_asia,high_income,landlocked,oecd,europe,christian,TRUE,cze
i58,_csk,europe_central_asia,,landlocked,others,europe,,TRUE,_csk
i59,dnk,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,dnk
i60,dji,middle_east_north_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,dji
i61,dma,america,upper_middle_income,coastline,g77,america,christian,TRUE,dma
i62,dom,america,upper_middle_income,coastline,g77,america,christian,TRUE,dom
i63,_ddr,europe_central_asia,,coastline,others,europe,,TRUE,_ddr
i64,ecu,america,upper_middle_income,coastline,g77,america,christian,TRUE,ecu
i65,egy,middle_east_north_africa,lower_middle_income,coastline,g77,africa,muslim,TRUE,egy
i66,slv,america,lower_middle_income,coastline,g77,america,christian,TRUE,slv
i67,gnq,sub_saharan_africa,high_income,coastline,g77,africa,christian,TRUE,gnq
i68,eri,sub_saharan_africa,low_income,coastline,g77,africa,muslim,TRUE,eri
i69,_eae,sub_saharan_africa,,coastline,others,africa,,TRUE,_eae
i70,est,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,est
i71,eth,sub_saharan_africa,low_income,coastline,g77,africa,christian,TRUE,eth
i72,fro,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,fro
i73,flk,america,,coastline,others,america,christian,TRUE,flk
i74,fji,east_asia_pacific,upper_middle_income,coastline,g77,asia,christian,TRUE,fji
i75,fin,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,fin
i76,fra,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,fra
i77,guf,america,,coastline,others,america,christian,TRUE,guf
i78,pyf,east_asia_pacific,high_income,coastline,others,asia,christian,TRUE,pyf
i79,gab,sub_saharan_africa,upper_middle_income,coastline,g77,africa,christian,TRUE,gab
i80,gmb,sub_saharan_africa,low_income,coastline,g77,africa,muslim,TRUE,gmb
i81,geo,europe_central_asia,lower_middle_income,coastline,others,europe,christian,TRUE,geo
i82,deu,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,deu
i83,gha,sub_saharan_africa,lower_middle_income,coastline,g77,africa,christian,TRUE,gha
i84,gib,europe_central_asia,,coastline,others,europe,christian,TRUE,gib
i85,grc,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,grc
i86,grl,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,grl
i87,grd,america,upper_middle_income,coastline,g77,america,christian,TRUE,grd
i88,glp,america,,coastline,others,america,christian,TRUE,glp
i89,gum,east_asia_pacific,high_income,coastline,others,asia,christian,TRUE,gum
i90,gtm,america,lower_middle_income,coastline,g77,america,christian,TRUE,gtm
i91,gbg,europe_central_asia,,coastline,others,europe,,TRUE,gbg
i92,gin,sub_saharan_africa,low_income,coastline,g77,africa,muslim,TRUE,gin
i93,gnb,sub_saharan_africa,low_income,coastline,g77,africa,,TRUE,gnb
i94,guy,america,lower_middle_income,coastline,g77,america,christian,TRUE,guy
i95,hti,america,low_income,coastline,g77,america,christian,TRUE,hti
i96,hos,europe_central_asia,,landlocked,others,europe,christian,TRUE,hos
i97,hnd,america,lower_middle_income,coastline,g77,america,christian,TRUE,hnd
i98,hkg,east_asia_pacific,high_income,coastline,others,asia,eastern_religions,TRUE,hkg
i99,hun,europe_central_asia,upper_middle_income,landlocked,oecd,europe,christian,TRUE,hun
i100,isl,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,isl
i101,ind,south_asia,lower_middle_income,coastline,g77,asia,eastern_religions,TRUE,ind
i102,idn,east_asia_pacific,lower_middle_income,coastline,g77,asia,muslim,TRUE,idn
i103,irn,middle_east_north_africa,upper_middle_income,coastline,g77,asia,muslim,TRUE,irn
i104,irq,middle_east_north_africa,upper_middle_income,coastline,g77,asia,muslim,TRUE,irq
i105,irl,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,irl
i106,gbm,europe_central_asia,high_income,coastline,others,europe,christian,TRUE,gbm
i107,isr,middle_east_north_africa,high_income,coastline,others,asia,,TRUE,isr
i108,ita,europe_central_asia,high_income,coastline,oecd,europe,christian,TRUE,ita
i109,jam,america,upper_middle_income,coastline,g77,america,christian,TRUE,jam
