"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1800,,,40,
"abw",1800,19286,833,40,
"afg",1800,3280000,603,30.5122804245,468.58
"ago",1800,1567028,618,48.93343,485.68
"aia",1800,2025,,40,
"akr_a_dhe",1800,,,40,
"alb",1800,410445,667,41.2354,375.2
"and",1800,2654,1197,40,
"ant",1800,,,40,
"arg",1800,534000,1507,47.1009928111,402.19
"arm",1800,413326,514,29.12185,371.2
"asm",1800,8170,,40,
"atg",1800,37000,757,40,473.6
"aus",1800,351014,815,41.30739,390.99
"aut",1800,3205587,1848,53.35227,387.32
"aze",1800,879960,775,40,384
"bdi",1800,899097,418,43.69366,423.95
"bel",1800,3138137,2412,62.43673,322.4
"ben",1800,636559,597,47.95059,430.46
"bfa",1800,1665421,480,37.4998,454.69
"bgd",1800,19227358,876,41.82703,507.88
"bgr",1800,1992320,1089,47.82681,370.41
"bhr",1800,64474,1235,40,439.79
"bhs",1800,27350,1445,40,471.04
"bih",1800,851806,669,40,378.8
"blr",1800,2355081,608,57.85,365.67
"blz",1800,25526,579,40,467.2
"bmu",1800,9692,1227,40,
"bol",1800,1100000,854,40,404.69
"bra",1800,3639636,1109,47.1009928111,417.44
"brb",1800,81729,913,40,469.76
"brn",1800,2128,1512,40,454.69
"btn",1800,89989,629,40,463.36
"bwa",1800,121000,397,35.60809,397.2
"caf",1800,479444,424,45.24579,443.79
"can",1800,645526,1314,45.13605,333.47
"cck",1800,,,40,
"chanisl",1800,43908,,40,
"cheslo",1800,,,40,
"chl",1800,771447,1026,47.1009928111,417.44
"chn",1800,321675013,985,44.854295,417.44
"civ",1800,1088530,812,38.09856,427.86
"cmr",1800,1860054,626,56.15046,460.21
"cod",1800,5163819,485,42.12181,422.65
"cog",1800,314465,575,51.06881,408.51
"cok",1800,16136,,40,
"col",1800,1206000,963,58.94312,417.44
"com",1800,56346,696,36.30614,416.16
"cpv",1800,55716,529,40,394.71
"cri",1800,51987,775,40,441.12
"cub",1800,345043,864,40,414.89
"cxr",1800,,,40,
"cym",1800,2439,1039,40,
"cyp",1800,184392,853,40,339.12
"cyp_nor",1800,,,40,
"cze",1800,5516349,1915,34.91032,379.99
"deu",1800,22886919,1639,51.03153,340.25
"deu_east",1800,,,40,
"dji",1800,22848,752,40,445.15
"dma",1800,19950,663,40,
"dnk",1800,1062514,2013,54.1420492489,379.99
"dom",1800,89000,667,40,445.15
"dza",1800,2503218,716,57.71468,460.21
"ecu",1800,500000,529,40,405.96
"egy",1800,4243515,791,57.71468,404.69
"eri",1800,205010,532,40,441.12
"eri_a_eth",1800,,,40,
"est",1800,334136,938,48.87745,362.15
"eth",1800,2948990,523,47.51967,447.88
"fin",1800,977662,1244,50.58427,420.04
"fji",1800,130533,785,40,498.88
"flk",1800,100,,40,
"fra",1800,29355111,1803,59,412.34
"fro",1800,13537,,40,
"fsm",1800,16416,518,40,450.56
"gab",1800,158227,390,45.85316,435.79
"gbg",1800,,,40,
"gbm",1800,23533,,40,
