country;indicator;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;;;;;;;;;;;
Afghanistan;Migrant stock (male), % of population;0.53;0.51;0.49;0.47;0.46;0.50;0.50;0.42;0.40;0.38;0.34;;;;;;;;;;;
Albania;Migrant stock (male), % of population;2.79;2.52;2.32;2.17;2.01;1.91;1.81;2.10;2.36;2.52;2.67;;;;;;;;;;;
Algeria;Migrant stock (male), % of population;3.95;1.79;1.34;1.11;1.07;1.42;1.18;1.15;0.89;0.80;0.74;;;;;;;;;;;
American Samoa;Migrant stock (male), % of population;12.63;18.56;27.56;36.90;42.57;44.18;46.22;44.58;43.78;42.72;41.58;;;;;;;;;;;
Andorra;Migrant stock (male), % of population;19.86;39.19;56.62;61.14;69.62;69.26;75.28;68.64;63.95;63.52;64.90;;;;;;;;;;;
Angola;Migrant stock (male), % of population;2.90;1.65;0.94;0.52;1.32;1.32;0.35;0.32;0.33;0.33;0.33;;;;;;;;;;;
Anguilla;Migrant stock (male), % of population;7.74;9.93;12.62;15.74;17.94;22.76;27.69;31.54;34.67;34.64;35.56;;;;;;;;;;;
Antigua and Barbuda;Migrant stock (male), % of population;9.42;10.06;10.73;10.89;13.01;15.71;19.43;19.77;20.24;20.78;21.92;;;;;;;;;;;
Argentina;Migrant stock (male), % of population;13.57;11.50;9.74;8.20;6.91;5.85;4.93;4.36;3.96;3.67;3.39;;;;;;;;;;;
Aruba;Migrant stock (male), % of population;12.76;11.31;10.44;9.81;9.28;13.07;20.66;23.56;30.19;30.85;29.70;;;;;;;;;;;
Australia;Migrant stock (male), % of population;18.22;19.25;20.45;20.39;20.46;20.48;21.33;21.41;20.99;21.01;21.41;;;;;;;;;;;
Austria;Migrant stock (male), % of population;10.67;9.49;8.33;8.86;9.04;9.26;10.03;12.20;12.36;14.09;15.85;;;;;;;;;;;
Bahamas;Migrant stock (male), % of population;12.16;15.20;20.03;15.57;11.88;11.34;10.90;10.51;10.29;10.21;10.17;;;;;;;;;;;
Bahrain;Migrant stock (male), % of population;22.96;28.10;22.59;29.22;38.49;41.46;43.27;42.94;44.26;45.31;45.72;;;;;;;;;;;
Bangladesh;Migrant stock (male), % of population;1.24;1.15;1.08;1.01;1.23;1.28;1.29;1.33;1.19;1.15;1.12;;;;;;;;;;;
Barbados;Migrant stock (male), % of population;3.79;4.33;4.99;5.73;6.80;6.97;7.18;7.59;8.19;8.55;8.86;;;;;;;;;;;
Belgium;Migrant stock (male), % of population;5.39;7.10;8.00;9.33;10.19;9.90;9.91;9.87;9.14;8.85;9.42;;;;;;;;;;;
Belize;Migrant stock (male), % of population;8.97;9.06;9.15;9.03;10.60;16.84;17.08;18.17;14.68;14.13;14.22;;;;;;;;;;;
Benin;Migrant stock (male), % of population;1.64;1.70;1.75;1.74;1.72;1.74;1.70;2.73;2.16;2.56;2.72;;;;;;;;;;;
Bermuda;Migrant stock (male), % of population;19.31;22.96;28.58;26.71;24.85;25.51;26.08;26.95;27.97;29.09;30.51;;;;;;;;;;;
Bhutan;Migrant stock (male), % of population;6.90;7.04;7.04;6.71;6.57;6.74;6.90;8.71;9.21;8.91;8.79;;;;;;;;;;;
Bolivia;Migrant stock (male), % of population;1.46;1.41;1.35;1.29;1.16;1.04;0.92;0.95;1.11;1.29;1.53;;;;;;;;;;;
Botswana;Migrant stock (male), % of population;1.61;1.71;1.76;1.78;1.76;2.05;2.50;3.04;3.78;4.88;6.23;;;;;;;;;;;
Brazil;Migrant stock (male), % of population;2.14;1.72;1.40;1.18;0.99;0.75;0.57;0.49;0.43;0.40;0.38;;;;;;;;;;;
British Virgin Islands;Migrant stock (male), % of population;8.19;17.79;36.08;35.69;35.63;40.97;46.05;43.22;40.78;38.55;36.96;;;;;;;;;;;
Brunei Darussalam;Migrant stock (male), % of population;28.27;29.20;29.80;29.85;29.54;30.42;30.81;31.92;33.50;35.76;38.48;;;;;;;;;;;
Bulgaria;Migrant stock (male), % of population;0.22;0.21;0.21;0.21;0.21;0.21;0.21;0.48;1.09;1.17;1.25;;;;;;;;;;;
Burkina Faso;Migrant stock (male), % of population;1.24;1.38;1.51;1.65;2.40;3.44;3.81;4.48;4.82;5.52;6.30;;;;;;;;;;;
Burundi;Migrant stock (male), % of population;4.83;6.36;4.46;4.09;5.71;7.23;5.89;4.73;1.16;1.05;0.66;;;;;;;;;;;
Cambodia;Migrant stock (male), % of population;7.26;6.25;5.03;0.21;0.07;0.17;0.41;1.05;1.88;2.19;2.20;;;;;;;;;;;
Cameroon;Migrant stock (male), % of population;3.67;3.50;3.30;3.08;2.83;2.61;2.39;1.93;1.58;1.30;1.07;;;;;;;;;;;
Canada;Migrant stock (male), % of population;15.82;15.66;15.11;15.23;15.46;14.90;16.06;16.89;17.64;18.93;20.52;;;;;;;;;;;
Cape Verde;Migrant stock (male), % of population;3.60;3.21;2.85;2.94;3.02;2.85;2.67;2.54;2.47;2.44;2.44;;;;;;;;;;;
Cayman Islands;Migrant stock (male), % of population;12.80;14.56;16.90;23.96;32.45;41.37;49.41;55.97;60.93;66.97;66.16;;;;;;;;;;;
Central African Republic;Migrant stock (male), % of population;2.94;2.86;2.74;2.65;2.55;2.40;2.33;2.18;2.07;2.01;1.94;;;;;;;;;;;
Chad;Migrant stock (male), % of population;2.11;1.96;1.83;1.70;1.61;1.48;1.33;1.20;1.36;3.75;3.53;;;;;;;;;;;
Channel Islands;Migrant stock (male), % of population;30.09;34.03;38.38;38.98;39.86;28.05;27.57;38.65;41.15;44.23;47.81;;;;;;;;;;;
Chile;Migrant stock (male), % of population;1.56;1.25;1.02;0.87;0.76;0.76;0.84;0.95;1.14;1.37;1.76;;;;;;;;;;;
China;Migrant stock (male), % of population;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.05;;;;;;;;;;;
Colombia;Migrant stock (male), % of population;0.41;0.44;0.40;0.37;0.35;0.33;0.32;0.31;0.29;0.27;0.25;;;;;;;;;;;
Comoros;Migrant stock (male), % of population;0.84;1.05;1.53;2.55;4.30;3.57;3.07;2.68;2.35;2.07;1.82;;;;;;;;;;;
Congo;Migrant stock (male), % of population;2.55;2.92;3.31;3.72;4.16;4.67;5.29;4.71;3.48;3.81;3.86;;;;;;;;;;;
Cook Islands;Migrant stock (male), % of population;4.66;5.56;6.18;8.22;12.92;14.74;15.59;15.91;17.13;15.89;15.33;;;;;;;;;;;
Costa Rica;Migrant stock (male), % of population;2.69;2.17;1.48;1.48;2.97;4.33;13.55;6.53;7.85;10.11;10.39;;;;;;;;;;;
Cuba;Migrant stock (male), % of population;2.73;2.36;2.06;1.38;0.95;0.67;0.46;0.32;0.23;0.19;0.19;;;;;;;;;;;
Cyprus;Migrant stock (male), % of population;5.22;5.61;5.54;5.84;6.09;6.05;6.03;6.87;8.97;12.24;15.42;;;;;;;;;;;
Czechoslovakia (former);Migrant stock (male), % of population;0.37;0.37;0.39;0.39;0.40;0.65;2.74;3.34;3.42;3.48;3.48;;;;;;;;;;;
C™te d'Ivoire;Migrant stock (male), % of population;25.88;26.12;26.15;23.99;20.10;17.24;15.45;14.20;14.49;13.23;12.04;;;;;;;;;;;
Democratic People's Republic of Korea;Migrant stock (male), % of population;0.26;0.23;0.21;0.20;0.20;0.19;0.18;0.17;0.16;0.15;0.15;;;;;;;;;;;
Democratic Republic of the Congo;Migrant stock (male), % of population;6.89;7.76;7.08;5.17;4.41;2.28;1.99;4.15;1.17;0.77;0.62;;;;;;;;;;;
Denmark;Migrant stock (male), % of population;1.48;1.62;1.96;2.40;2.97;3.68;4.52;5.62;6.83;7.55;8.72;;;;;;;;;;;
Djibouti;Migrant stock (male), % of population;16.27;15.84;15.15;14.41;25.87;18.13;23.00;17.80;16.02;14.68;14.05;;;;;;;;;;;
Dominica;Migrant stock (male), % of population;4.20;3.75;3.28;2.89;2.48;2.99;3.83;4.70;5.80;7.21;9.00;;;;;;;;;;;
Dominican Republic;Migrant stock (male), % of population;6.28;5.86;5.48;5.24;5.08;4.96;4.88;4.84;4.86;4.91;4.99;;;;;;;;;;;
Ecuador;Migrant stock (male), % of population;0.59;0.68;0.79;0.89;0.89;0.84;0.75;0.76;0.82;0.96;2.94;;;;;;;;;;;
Egypt;Migrant stock (male), % of population;0.80;0.69;0.60;0.52;0.45;0.38;0.32;0.29;0.25;0.34;0.31;;;;;;;;;;;
El Salvador;Migrant stock (male), % of population;0.68;0.77;0.82;0.72;0.62;0.55;0.86;0.48;0.52;0.59;0.66;;;;;;;;;;;
Equatorial Guinea;Migrant stock (male), % of population;10.94;7.16;4.61;3.93;2.93;1.40;0.78;0.83;0.92;1.02;1.15;;;;;;;;;;;
Eritrea;Migrant stock (male), % of population;0.63;0.59;0.55;0.50;0.46;0.43;0.40;0.40;0.38;0.36;0.35;;;;;;;;;;;
Ethiopia;Migrant stock (male), % of population;2.04;1.75;1.56;1.33;1.25;1.55;2.53;1.48;1.08;0.79;0.69;;;;;;;;;;;
Faeroe Islands;Migrant stock (male), % of population;4.65;5.02;5.47;5.95;6.47;7.12;6.54;4.39;5.34;6.74;7.06;;;;;;;;;;;
Falkland Islands (Malvinas);Migrant stock (male), % of population;28.58;18.45;9.02;8.97;17.21;31.95;47.72;55.13;65.50;67.08;69.22;;;;;;;;;;;
Federal Republic of Germany (former);Migrant stock (male), % of population;4.47;4.89;5.49;8.07;8.50;8.31;;;;;;;;;;;;;;;;
Fiji;Migrant stock (male), % of population;6.17;4.54;3.55;2.81;2.31;1.89;1.92;1.96;2.03;2.13;2.23;;;;;;;;;;;
Finland;Migrant stock (male), % of population;0.66;0.65;0.66;0.71;0.78;0.99;1.31;2.09;2.63;3.30;4.27;;;;;;;;;;;
France;Migrant stock (male), % of population;8.78;10.21;11.36;11.65;11.79;11.41;10.85;10.82;10.78;10.71;10.70;;;;;;;;;;;
French Guiana;Migrant stock (male), % of population;27.75;35.64;38.41;36.15;37.72;44.75;51.52;49.73;47.74;49.35;46.58;;;;;;;;;;;
French Polynesia;Migrant stock (male), % of population;5.70;7.38;9.36;11.92;14.50;15.83;15.19;14.93;14.46;13.99;13.65;;;;;;;;;;;
Gabon;Migrant stock (male), % of population;5.03;6.77;8.92;12.11;16.15;16.07;15.89;17.39;19.62;20.45;21.61;;;;;;;;;;;
Gambia;Migrant stock (male), % of population;11.62;12.69;13.79;14.31;14.67;14.99;14.98;15.03;15.20;15.71;16.55;;;;;;;;;;;
German Democratic Republic (former);Migrant stock (male), % of population;1.72;1.04;0.63;0.60;0.57;0.54;;;;;;;;;;;;;;;;
Germany;Migrant stock (male), % of population;;;;;;;8.60;12.51;13.28;14.02;14.25;;;;;;;;;;;
Ghana;Migrant stock (male), % of population;9.83;6.67;4.80;4.42;4.21;4.09;5.27;6.78;8.85;8.75;8.74;;;;;;;;;;;
Gibraltar;Migrant stock (male), % of population;25.09;29.36;36.55;37.11;36.59;35.05;32.11;29.60;27.42;29.11;28.82;;;;;;;;;;;
Greece;Migrant stock (male), % of population;0.70;0.89;1.12;1.46;1.86;3.30;4.39;5.63;7.36;9.78;11.31;;;;;;;;;;;
Greenland;Migrant stock (male), % of population;9.81;13.25;19.18;22.06;22.61;22.34;19.70;18.23;16.54;14.94;12.88;;;;;;;;;;;
Grenada;Migrant stock (male), % of population;4.69;3.94;3.50;3.17;2.91;3.23;4.44;5.70;7.54;9.92;11.04;;;;;;;;;;;
Guadeloupe;Migrant stock (male), % of population;3.50;4.62;5.52;6.62;9.61;12.99;17.33;18.40;19.26;20.24;22.18;;;;;;;;;;;
Guam;Migrant stock (male), % of population;54.84;52.35;49.72;49.83;49.57;52.47;55.17;53.52;52.79;50.24;48.66;;;;;;;;;;;
Guatemala;Migrant stock (male), % of population;1.07;1.01;0.71;0.55;0.52;0.88;2.51;0.39;0.38;0.39;0.39;;;;;;;;;;;
Guinea;Migrant stock (male), % of population;0.38;0.42;0.45;0.52;0.55;0.59;3.84;10.29;7.96;4.07;3.55;;;;;;;;;;;
Guinea-Bissau;Migrant stock (male), % of population;1.99;2.02;2.06;1.83;1.56;1.39;1.37;2.75;1.49;1.32;1.18;;;;;;;;;;;
Guyana;Migrant stock (male), % of population;2.92;2.39;2.04;1.38;0.92;0.74;0.60;0.79;1.16;1.38;1.59;;;;;;;;;;;
Haiti;Migrant stock (male), % of population;0.38;0.30;0.24;0.25;0.27;0.28;0.30;0.32;0.34;0.37;0.39;;;;;;;;;;;
Holy See;Migrant stock (male), % of population;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;;;;;;;;;;;
Honduras;Migrant stock (male), % of population;3.25;1.70;0.79;0.47;0.91;1.98;5.60;0.56;0.47;0.39;0.33;;;;;;;;;;;
Hong Kong Special Administrative Region of China;Migrant stock (male), % of population;53.64;45.39;43.43;43.67;42.77;40.33;38.48;38.22;38.05;35.99;35.19;;;;;;;;;;;
Hungary;Migrant stock (male), % of population;5.05;4.52;4.04;3.61;3.24;3.01;3.14;2.65;2.71;3.06;3.39;;;;;;;;;;;
Iceland;Migrant stock (male), % of population;1.78;2.16;2.15;2.13;2.24;2.60;3.32;3.54;5.12;7.30;11.11;;;;;;;;;;;
India;Migrant stock (male), % of population;2.17;1.94;1.71;1.49;1.30;1.06;0.87;0.74;0.61;0.52;0.44;;;;;;;;;;;
Indonesia;Migrant stock (male), % of population;2.09;1.47;1.02;0.72;0.52;0.36;0.26;0.12;0.15;0.07;0.06;;;;;;;;;;;
Iran (Islamic Republic of);Migrant stock (male), % of population;0.22;0.22;0.31;0.50;1.52;6.46;8.41;5.56;4.88;3.45;3.42;;;;;;;;;;;
Iraq;Migrant stock (male), % of population;1.37;1.09;0.89;0.73;0.62;0.90;0.61;0.86;0.81;0.62;0.36;;;;;;;;;;;
