age,name
0,Age 0
1,Age 1
2,Age 2
3,Age 3
4,Age 4
5,Age 5
6,Age 6
7,Age 7
8,Age 8
9,Age 9
10,Age 10
11,Age 11
12,Age 12
13,Age 13
14,Age 14
15,Age 15
16,Age 16
17,Age 17
18,Age 18
19,Age 19
20,Age 20
21,Age 21
22,Age 22
23,Age 23
24,Age 24
25,Age 25
26,Age 26
27,Age 27
28,Age 28
29,Age 29
30,Age 30
31,Age 31
32,Age 32
33,Age 33
34,Age 34
35,Age 35
36,Age 36
37,Age 37
38,Age 38
39,Age 39
40,Age 40
41,Age 41
42,Age 42
43,Age 43
44,Age 44
45,Age 45
46,Age 46
47,Age 47
48,Age 48
49,Age 49
50,Age 50
51,Age 51
52,Age 52
53,Age 53
54,Age 54
55,Age 55
56,Age 56
57,Age 57
58,Age 58
59,Age 59
60,Age 60
61,Age 61
62,Age 62
63,Age 63
64,Age 64
65,Age 65
66,Age 66
67,Age 67
68,Age 68
69,Age 69
70,Age 70
71,Age 71
72,Age 72
73,Age 73
74,Age 74
75,Age 75
76,Age 76
77,Age 77
78,Age 78
79,Age 79
80plus,Age 80plus
80,Age 80
81,Age 81
82,Age 82
83,Age 83
84,Age 84
85,Age 85
86,Age 86
87,Age 87
88,Age 88
89,Age 89
90,Age 90
91,Age 91
92,Age 92
93,Age 93
94,Age 94
95,Age 95
96,Age 96
97,Age 97
98,Age 98
99,Age 99
100plus,Age 100plus
