name,country_code
WORLD,900
More developed regions,901
Less developed regions,902
Least developed countries,941
"Less developed regions, excluding least developed countries",934
"Less developed regions, excluding China",948
High-income countries,1503
Middle-income countries,1517
Upper-middle-income countries,1502
Lower-middle-income countries,1501
Low-income countries,1500
Sub-Saharan Africa,947
AFRICA,903
Eastern Africa,910
Burundi,108
Comoros,174
Djibouti,262
Eritrea,232
Ethiopia,231
Kenya,404
Madagascar,450
Malawi,454
Mauritius,480
Mayotte,175
Mozambique,508
Réunion,638
Rwanda,646
Seychelles,690
Somalia,706
South Sudan,728
Uganda,800
United Republic of Tanzania,834
Zambia,894
Zimbabwe,716
Middle Africa,911
Angola,24
Cameroon,120
Central African Republic,140
Chad,148
Congo,178
Democratic Republic of the Congo,180
Equatorial Guinea,226
Gabon,266
Sao Tome and Principe,678
Northern Africa,912
Algeria,12
Egypt,818
Libya,434
Morocco,504
Sudan,729
Tunisia,788
Western Sahara,732
Southern Africa,913
Botswana,72
Lesotho,426
Namibia,516
South Africa,710
Swaziland,748
Western Africa,914
Benin,204
Burkina Faso,854
Cabo Verde,132
Côte d'Ivoire,384
Gambia,270
Ghana,288
Guinea,324
Guinea-Bissau,624
Liberia,430
Mali,466
Mauritania,478
Niger,562
Nigeria,566
Senegal,686
Sierra Leone,694
Togo,768
ASIA,935
Eastern Asia,906
China,156
"China, Hong Kong SAR",344
"China, Macao SAR",446
Dem. People's Republic of Korea,408
Japan,392
Mongolia,496
Republic of Korea,410
Other non-specified areas,158
South-Central Asia,921
Central Asia,5500
Kazakhstan,398
Kyrgyzstan,417
Tajikistan,762
Turkmenistan,795
Uzbekistan,860
Southern Asia,5501
Afghanistan,4
Bangladesh,50
Bhutan,64
India,356
Iran (Islamic Republic of),364
Maldives,462
Nepal,524
Pakistan,586
Sri Lanka,144
South-Eastern Asia,920
Brunei Darussalam,96
Cambodia,116
Indonesia,360
Lao People's Democratic Republic,418
Malaysia,458
Myanmar,104
Philippines,608
Singapore,702
Thailand,764
Timor-Leste,626
Viet Nam,704
Western Asia,922
Armenia,51
Azerbaijan,31
Bahrain,48
Cyprus,196
Georgia,268
Iraq,368
Israel,376
Jordan,400
Kuwait,414
Lebanon,422
Oman,512
Qatar,634
Saudi Arabia,682
State of Palestine,275
Syrian Arab Republic,760
Turkey,792
United Arab Emirates,784
Yemen,887
EUROPE,908
Eastern Europe,923
Belarus,112
Bulgaria,100
Czech Republic,203
Hungary,348
Poland,616
Republic of Moldova,498
Romania,642
Russian Federation,643
Slovakia,703
Ukraine,804
Northern Europe,924
Channel Islands,830
Denmark,208
Estonia,233
Finland,246
Iceland,352
Ireland,372
Latvia,428
Lithuania,440
Norway,578
Sweden,752
United Kingdom,826
Southern Europe,925
Albania,8
Bosnia and Herzegovina,70
Croatia,191
Greece,300
Italy,380
Malta,470
Montenegro,499
Portugal,620
Serbia,688
Slovenia,705
Spain,724
TFYR Macedonia,807
Western Europe,926
Austria,40
Belgium,56
France,250
Germany,276
Luxembourg,442
Netherlands,528
Switzerland,756
LATIN AMERICA AND THE CARIBBEAN,904
Caribbean,915
Antigua and Barbuda,28
Aruba,533
Bahamas,44
Barbados,52
Cuba,192
Curaçao,531
Dominican Republic,214
Grenada,308
Guadeloupe,312
Haiti,332
Jamaica,388
Martinique,474
Puerto Rico,630
Saint Lucia,662
Saint Vincent and the Grenadines,670
Trinidad and Tobago,780
United States Virgin Islands,850
Central America,916
Belize,84
Costa Rica,188
El Salvador,222
Guatemala,320
Honduras,340
Mexico,484
Nicaragua,558
Panama,591
South America,931
Argentina,32
Bolivia (Plurinational State of),68
Brazil,76
Chile,152
Colombia,170
Ecuador,218
French Guiana,254
Guyana,328
Paraguay,600
Peru,604
Suriname,740
Uruguay,858
Venezuela (Bolivarian Republic of),862
NORTHERN AMERICA,905
Canada,124
United States of America,840
OCEANIA,909
Australia/New Zealand,927
Australia,36
New Zealand,554
Melanesia,928
Fiji,242
New Caledonia,540
Papua New Guinea,598
Solomon Islands,90
Vanuatu,548
Micronesia,954
Guam,316
Kiribati,296
Micronesia (Fed. States of),583
Polynesia,957
French Polynesia,258
Samoa,882
Tonga,776
